protein_id,n_samples,std_r2_mean,std_r2_std,04_r2_mean,04_r2_std,difference,std_scores,04_scores
Q9NR48,44,-8.82091651953243e+25,1.2474659774483641e+26,-1.3711874721097736e+26,1.939151919613722e+26,-4.890958201565306e+25,"[-0.5293564669678559, -0.27042140633457334, -2.646274955859729e+26]","[-0.5215166613057489, -0.25357716567404287, -4.113562416329321e+26]"
P43351,34,-2.7441318951331675,2.745221283305443,-2.995636072885482,3.036676697772211,-0.2515041777523144,"[-0.7412415660998628, -0.8653543965787134, -6.625799722720927]","[-0.7848904830901953, -0.9125043589122936, -7.289513376653957]"
Q00526,57,-0.1311273115736088,0.5142843791277634,-0.24244244375381196,0.5795692123429939,-0.11131513218020317,"[-0.8563678287595007, 0.1840347749496225, 0.2789511190890518]","[-1.0553284220896093, 0.07309951399745418, 0.25490157683071923]"
P09382,30,0.07195194789703696,0.20016093793280143,-0.01963898143754213,0.1802042300098212,-0.09159092933457909,"[-0.20680985174782252, 0.1687242112090408, 0.2539414842298926]","[-0.27398180016251605, 0.1214120782240371, 0.09365277762585256]"
Q13705,52,-1.4306264810627247,0.9086241100901156,-1.5201323960121897,0.9875249117611424,-0.08950591494946503,"[-0.2997065716050231, -2.5244440598964233, -1.4677288116867273]","[-0.30838337462756793, -2.727302515289277, -1.5247112981197248]"
P10632,37,-0.21866611144136017,0.46666701522170834,-0.30500949587699366,0.55235545053576,-0.0863433844356335,"[0.20169779111937813, -0.869458771524678, 0.011762646081219352]","[0.1600173593933335, -1.081082794651378, 0.006036947627063416]"
Q9Y2H1,46,-3.470338448458636,4.9536699774104616,-3.5554062219589078,5.078919055340334,-0.08506777350027184,"[-10.475816483115688, 0.05937272302581886, 0.005428414713960272]","[-10.73799742133844, 0.06615326702972413, 0.005625488431992065]"
P20831,38,-0.3469714236970784,1.0783100180710197,-0.42718602837487335,1.2320312935782523,-0.08021460467779495,"[0.49097461175310086, 0.33746553400105594, -1.869354416845392]","[0.5204401008040176, 0.36523753658294966, -2.1672357225115872]"
P0AES6,61,0.21569080507800617,0.2362176912604222,0.1373807611481649,0.27769098218828,-0.07831004392984128,"[0.08484671285762369, 0.5473046319495016, 0.014921070426893168]","[-0.13581850451340904, 0.5182958525863024, 0.02966493537160131]"
Q9UPZ9,32,0.031548534396066565,0.22594445679693456,-0.04590299348296637,0.23767571007339747,-0.07745152787903294,"[0.3509133141347738, -0.1191366652047634, -0.13713104574181068]","[0.2839487661703748, -0.1548558688473396, -0.2668018777719343]"
Q02485,34,-0.4630527158967019,0.1204482102145671,-0.5399779394920587,0.1430510653189115,-0.07692522359535686,"[-0.3798591503440385, -0.3759219569276291, -0.633377040418438]","[-0.3977737575290867, -0.4864650678587179, -0.7356949930883716]"
