avoidome_name,avoidome_uniprot_id,organism,organism_uniprot_id,protein_name,alternative_names
CYP1A2,P05177,human,P05177,CYP1A2,"CP1A2_HUMAN, Cytochrome P450 1A2"
CYP2B6,P20813,human,P20813,CYP2B6,"CP2B6_HUMAN, Cytochrome P450 2B6"
CYP2C9,P11712,human,P11712,CYP2C9,"CP2C9_HUMAN, Cytochrome P450 2C9"
CYP2C19,P33261,human,P33261,CYP2C19,"CP2CJ_HUMAN, Cytochrome P450 2C19"
CYP2D6,P10635,human,P10635,CYP2D6,"CP2D6_HUMAN, Cytochrome P450 2D6"
CYP3A4,P08684,human,P08684,CYP3A4,"CP3A4_HUMAN, Cytochrome P450 3A4"
AOX1,Q06278,human,Q06278,Aldehyde oxidase,"AOXA_HUMAN, Aldehyde oxidase"
XDH,P47989,human,P47989,Xanthine oxidase,"XDH_HUMAN, Xanthine dehydrogenase/oxidase"
MAOA,P21397,human,P21397,Monoamine oxidase A,"AOFA_HUMAN, Amine oxidase [flavin-containing] A"
MAOB,P27338,human,P27338,Monoamine oxidase B,"AOFB_HUMAN, Amine oxidase [flavin-containing] B"
ALDH1A1,P00352,human,P00352,ALDH1A1,"AL1A1_HUMAN, Aldehyde dehydrogenase 1A1"
ADH1A,P07327,human,P07327,Alcohol dehydrogenase 1A,"ADH1A_HUMAN, Alcohol dehydrogenase 1A"
HSD11B1,P28845,human,P28845,HSD11B1,"DHI1_HUMAN, 11-beta-hydroxysteroid dehydrogenase 1"
AKR7A3,O95154,human,O95154,Aldehyde reductase,"ARK73_HUMAN, Aflatoxin B1 aldehyde reductase member 3"
FMO1,Q01740,human,Q01740,FMO1,"FMO1_HUMAN, Flavin-containing monooxygenase 1"
AHR,P35869,human,P35869,AHR,"AHR_HUMAN, Aryl hydrocarbon receptor"
NR1I3,Q14994,human,Q14994,CAR,"NR1I3_HUMAN, Nuclear receptor subfamily 1 group I member 3"
NR1I2,O75469,human,O75469,PXR,"NR1I2_HUMAN, Nuclear receptor subfamily 1 group I member 2"
SULT1A1,P50225,human,P50225,SULT1A1,"ST1A1_HUMAN, Sulfotransferase 1A1"
GSTA1,P08263,human,P08263,GSTA1,"GSTA1_HUMAN, Glutathione S-transferase A1"
OXA1L,Q15070,human,Q15070,HSA,"OXA1L_HUMAN, Mitochondrial inner membrane protein OXA1L"
ORM1,P02763,human,P02763,Alpha1-acid glycoprotein,"A1AG1_HUMAN, Alpha-1-acid glycoprotein 1"
KCNH2,Q12809,human,Q12809,HERG (Kv11.1),"KCNH2_HUMAN, Potassium voltage-gated channel subfamily H member 2"
SCN5A,Q14524,human,Q14524,NaV1.5,"SCN5A_HUMAN, Sodium channel protein type 5 subunit alpha"
CACNB1,Q02641,human,Q02641,Calcium L-channel,"CACB1_HUMAN, Voltage-dependent L-type calcium channel subunit beta-1"
CAV1,Q03135,human,Q03135,CaV 1.2,"CAV1_HUMAN, Caveolin-1"
HTR2B,P41595,human,P41595,HTR2B,"5HT2B_HUMAN, 5-hydroxytryptamine receptor 2B"
SLC6A4,P31645,human,P31645,SERT,"SC6A4_HUMAN, Sodium-dependent serotonin transporter"
DIDO1,Q9BTC0,human,Q9BTC0,DAT1,"DIDO1_HUMAN, Death-inducer obliterator 1"
SLC6A3,Q01959,human,Q01959,SLC6A3,"SC6A3_HUMAN, Sodium-dependent dopamine transporter"
SLC6A2,P23975,human,P23975,NET noradrenaline transporter,"SC6A2_HUMAN, Sodium-dependent noradrenaline transporter"
NAT8,Q9UHE5,human,Q9UHE5,NAT,"NAT8_HUMAN, N-acetyltransferase 8"
ADRA1A,P35348,human,P25100,Adrenergic receptor A1,"ADA1A_HUMAN, Alpha-1A adrenergic receptor"
ADRA2A,P08913,human,P08913,Adrenergic receptor A2,"ADA2A_HUMAN, Alpha-2A adrenergic receptor"
ADRB1,P08588,human,P08588,Adrenergic receptor B1,"ADRB1_HUMAN, Beta-1 adrenergic receptor"
ADRB2,P07550,human,P07550,Adrenergic receptor B2,"ADRB2_HUMAN, Beta-2 adrenergic receptor"
CNRIP1,Q96F85,human,Q96F85,Cannabinoid receptor CB1,"CNRP1_HUMAN, CB1 cannabinoid receptor-interacting protein 1"
CNR2,P34972,human,P34972,Cannabinoid receptor CB2,"CNR2_HUMAN, Cannabinoid receptor 2"
CHRM1,P11229,human,P11229,Muscarinic receptor M1,"ACM1_HUMAN, Muscarinic acetylcholine receptor M1"
CHRM2,P08172,human,P08172,Muscarinic receptor M2,"ACM2_HUMAN, Muscarinic acetylcholine receptor M2"
CHRM3,P20309,human,P20309,Muscarinic receptor M3,"ACM3_HUMAN, Muscarinic acetylcholine receptor M3"
CHRNA10,Q9GZZ6,human,Q9GZZ6,nicotinic nAChR,ACH10_HUMAN Neuronal acetylcholine receptor subunit alpha-10
CHRNA9,Q9UGM1,human,Q9UGM1,nicotinic nAChR,ACHA9_HUMAN Neuronal acetylcholine receptor subunit alpha-9
