protein_name,organism,n_samples,regression_metrics,classification_metrics,mcc_difference,accuracy_difference,f1_difference,better_model,mcc_improvement
CYP1A2,human,329,"{'mcc': 0.5238625628925131, 'accuracy': 0.8601823708206687, 'precision': 0.8709677419354839, 'recall': 0.391304347826087, 'f1': 0.54, 'specificity': 0.9846153846153847, 'confusion_matrix': [[256, 4], [42, 27]], 'true_negatives': 256, 'false_positives': 4, 'false_negatives': 42, 'true_positives': 27}","{'mcc': 0.5585872702830107, 'accuracy': 0.8662613981762918, 'precision': 0.7169811320754716, 'recall': 0.5671641791044776, 'f1': 0.6333333333333333, 'specificity': 0.9427480916030534, 'confusion_matrix': [[247, 15], [29, 38]], 'true_negatives': 247, 'false_positives': 15, 'false_negatives': 29, 'true_positives': 38}",0.0347247073904976,0.006079027355623046,0.09333333333333327,classification,0.0347247073904976
CYP2C9,human,466,"{'mcc': 0.40158074982761494, 'accuracy': 0.9678111587982833, 'precision': 1.0, 'recall': 0.16666666666666666, 'f1': 0.2857142857142857, 'specificity': 1.0, 'confusion_matrix': [[448, 0], [15, 3]], 'true_negatives': 448, 'false_positives': 0, 'false_negatives': 15, 'true_positives': 3}","{'mcc': 0.4361713289108325, 'accuracy': 0.9592274678111588, 'precision': 0.47058823529411764, 'recall': 0.4444444444444444, 'f1': 0.45714285714285713, 'specificity': 0.9799107142857143, 'confusion_matrix': [[439, 9], [10, 8]], 'true_negatives': 439, 'false_positives': 9, 'false_negatives': 10, 'true_positives': 8}",0.034590579083217554,-0.008583690987124526,0.17142857142857143,classification,0.034590579083217554
CYP2D6,human,607,"{'mcc': 0.13412693352771246, 'accuracy': 0.9176276771004942, 'precision': 1.0, 'recall': 0.0196078431372549, 'f1': 0.038461538461538464, 'specificity': 1.0, 'confusion_matrix': [[556, 0], [50, 1]], 'true_negatives': 556, 'false_positives': 0, 'false_negatives': 50, 'true_positives': 1}","{'mcc': 0.36657722122838404, 'accuracy': 0.9077429983525536, 'precision': 0.4166666666666667, 'recall': 0.4166666666666667, 'f1': 0.4166666666666667, 'specificity': 0.9499105545617174, 'confusion_matrix': [[531, 28], [28, 20]], 'true_negatives': 531, 'false_positives': 28, 'false_negatives': 28, 'true_positives': 20}",0.23245028770067158,-0.009884678747940634,0.3782051282051282,classification,0.23245028770067158
CYP3A4,human,1387,"{'mcc': 0.5841017349731981, 'accuracy': 0.9610670511896179, 'precision': 0.8536585365853658, 'recall': 0.42168674698795183, 'f1': 0.5645161290322581, 'specificity': 0.995398773006135, 'confusion_matrix': [[1298, 6], [48, 35]], 'true_negatives': 1298, 'false_positives': 6, 'false_negatives': 48, 'true_positives': 35}","{'mcc': 0.6193863435980694, 'accuracy': 0.9632299927901946, 'precision': 0.6617647058823529, 'recall': 0.6164383561643836, 'f1': 0.6382978723404256, 'specificity': 0.982496194824962, 'confusion_matrix': [[1291, 23], [28, 45]], 'true_negatives': 1291, 'false_positives': 23, 'false_negatives': 28, 'true_positives': 45}",0.03528460862487137,0.002162941600576729,0.07378174330816745,classification,0.03528460862487137
XDH,human,98,"{'mcc': 0.553770021218013, 'accuracy': 0.8469387755102041, 'precision': 0.7647058823529411, 'recall': 0.5416666666666666, 'f1': 0.6341463414634146, 'specificity': 0.9459459459459459, 'confusion_matrix': [[70, 4], [11, 13]], 'true_negatives': 70, 'false_positives': 4, 'false_negatives': 11, 'true_positives': 13}","{'mcc': 0.6247668505170333, 'accuracy': 0.8469387755102041, 'precision': 0.6333333333333333, 'recall': 0.8260869565217391, 'f1': 0.7169811320754716, 'specificity': 0.8533333333333334, 'confusion_matrix': [[64, 11], [4, 19]], 'true_negatives': 64, 'false_positives': 11, 'false_negatives': 4, 'true_positives': 19}",0.07099682929902029,0.0,0.08283479061205701,classification,0.07099682929902029
MAOA,human,1130,"{'mcc': 0.6013554100857851, 'accuracy': 0.9300884955752212, 'precision': 0.8472222222222222, 'recall': 0.4728682170542636, 'f1': 0.6069651741293532, 'specificity': 0.989010989010989, 'confusion_matrix': [[990, 11], [68, 61]], 'true_negatives': 990, 'false_positives': 11, 'false_negatives': 68, 'true_positives': 61}","{'mcc': 0.5722769165496087, 'accuracy': 0.9194690265486726, 'precision': 0.6517857142857143, 'recall': 0.584, 'f1': 0.6160337552742616, 'specificity': 0.9611940298507463, 'confusion_matrix': [[966, 39], [52, 73]], 'true_negatives': 966, 'false_positives': 39, 'false_negatives': 52, 'true_positives': 73}",-0.02907849353617642,-0.010619469026548645,0.009068581144908383,regression,0.02907849353617642
MAOB,human,1519,"{'mcc': 0.5950130648440672, 'accuracy': 0.8406846609611587, 'precision': 0.8181818181818182, 'recall': 0.5865168539325842, 'f1': 0.6832460732984293, 'specificity': 0.9459962756052142, 'confusion_matrix': [[1016, 58], [184, 261]], 'true_negatives': 1016, 'false_positives': 58, 'false_negatives': 184, 'true_positives': 261}","{'mcc': 0.6227456809589713, 'accuracy': 0.837393021724819, 'precision': 0.6953907815631263, 'recall': 0.7850678733031674, 'f1': 0.7375132837407014, 'specificity': 0.8588672237697307, 'confusion_matrix': [[925, 152], [95, 347]], 'true_negatives': 925, 'false_positives': 152, 'false_negatives': 95, 'true_positives': 347}",0.027732616114904074,-0.003291639236339683,0.05426721044227201,classification,0.027732616114904074
ALDH1A1,human,150,"{'mcc': 0.5263452585897143, 'accuracy': 0.8133333333333334, 'precision': 0.8148148148148148, 'recall': 0.4888888888888889, 'f1': 0.6111111111111112, 'specificity': 0.9523809523809523, 'confusion_matrix': [[100, 5], [23, 22]], 'true_negatives': 100, 'false_positives': 5, 'false_negatives': 23, 'true_positives': 22}","{'mcc': 0.6035920395249953, 'accuracy': 0.84, 'precision': 0.7317073170731707, 'recall': 0.6976744186046512, 'f1': 0.7142857142857143, 'specificity': 0.897196261682243, 'confusion_matrix': [[96, 11], [13, 30]], 'true_negatives': 96, 'false_positives': 11, 'false_negatives': 13, 'true_positives': 30}",0.07724678093528103,0.026666666666666616,0.10317460317460314,classification,0.07724678093528103
HSD11B1,human,2046,"{'mcc': 0.6372472273463897, 'accuracy': 0.833822091886608, 'precision': 0.8469387755102041, 'recall': 0.8993808049535603, 'f1': 0.8723723723723724, 'specificity': 0.7214854111405835, 'confusion_matrix': [[544, 210], [130, 1162]], 'true_negatives': 544, 'false_positives': 210, 'false_negatives': 130, 'true_positives': 1162}","{'mcc': 0.6216302362887104, 'accuracy': 0.821603128054741, 'precision': 0.863961813842482, 'recall': 0.8484375, 'f1': 0.8561292865589278, 'specificity': 0.7767624020887729, 'confusion_matrix': [[595, 171], [194, 1086]], 'true_negatives': 595, 'false_positives': 171, 'false_negatives': 194, 'true_positives': 1086}",-0.01561699105767933,-0.012218963831867047,-0.01624308581344458,regression,0.01561699105767933
NR1I3,human,59,"{'mcc': 0.5602635585791081, 'accuracy': 0.8305084745762712, 'precision': 0.8181818181818182, 'recall': 0.5294117647058824, 'f1': 0.6428571428571429, 'specificity': 0.9523809523809523, 'confusion_matrix': [[40, 2], [8, 9]], 'true_negatives': 40, 'false_positives': 2, 'false_negatives': 8, 'true_positives': 9}","{'mcc': 0.7458455232290655, 'accuracy': 0.8983050847457628, 'precision': 0.8666666666666667, 'recall': 0.7647058823529411, 'f1': 0.8125, 'specificity': 0.9523809523809523, 'confusion_matrix': [[40, 2], [4, 13]], 'true_negatives': 40, 'false_positives': 2, 'false_negatives': 4, 'true_positives': 13}",0.18558196464995735,0.06779661016949157,0.1696428571428571,classification,0.18558196464995735
NR1I2,human,344,"{'mcc': 0.4937499336238476, 'accuracy': 0.8953488372093024, 'precision': 0.7142857142857143, 'recall': 0.4166666666666667, 'f1': 0.5263157894736842, 'specificity': 0.972972972972973, 'confusion_matrix': [[288, 8], [28, 20]], 'true_negatives': 288, 'false_positives': 8, 'false_negatives': 28, 'true_positives': 20}","{'mcc': 0.5841614746052305, 'accuracy': 0.8866279069767442, 'precision': 0.5645161290322581, 'recall': 0.7446808510638298, 'f1': 0.6422018348623854, 'specificity': 0.9090909090909091, 'confusion_matrix': [[270, 27], [12, 35]], 'true_negatives': 270, 'false_positives': 27, 'false_negatives': 12, 'true_positives': 35}",0.09041154098138288,-0.008720930232558155,0.11588604538870118,classification,0.09041154098138288
KCNH2,human,4492,"{'mcc': 0.541667178232554, 'accuracy': 0.9392252894033838, 'precision': 0.9139072847682119, 'recall': 0.34673366834170855, 'f1': 0.5027322404371585, 'specificity': 0.9968246213971665, 'confusion_matrix': [[4081, 13], [260, 138]], 'true_negatives': 4081, 'false_positives': 13, 'false_negatives': 260, 'true_positives': 138}","{'mcc': 0.6005559353413893, 'accuracy': 0.942787177203918, 'precision': 0.6697247706422018, 'recall': 0.595108695652174, 'f1': 0.6302158273381295, 'specificity': 0.973811833171678, 'confusion_matrix': [[4016, 108], [149, 219]], 'true_negatives': 4016, 'false_positives': 108, 'false_negatives': 149, 'true_positives': 219}",0.05888875710883534,0.003561887800534236,0.12748358690097106,classification,0.05888875710883534
SCN5A,human,329,"{'mcc': 0.0, 'accuracy': 0.9848024316109423, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'specificity': 1.0, 'confusion_matrix': [[324, 0], [5, 0]], 'true_negatives': 324, 'false_positives': 0, 'false_negatives': 5, 'true_positives': 0}","{'mcc': 0.34813243045135706, 'accuracy': 0.9878419452887538, 'precision': 0.5, 'recall': 0.25, 'f1': 0.3333333333333333, 'specificity': 0.9969230769230769, 'confusion_matrix': [[324, 1], [3, 1]], 'true_negatives': 324, 'false_positives': 1, 'false_negatives': 3, 'true_positives': 1}",0.34813243045135706,0.003039513677811523,0.3333333333333333,classification,0.34813243045135706
HTR2B,human,1180,"{'mcc': 0.4185424649120396, 'accuracy': 0.7398305084745763, 'precision': 0.8195876288659794, 'recall': 0.3689095127610209, 'f1': 0.5088, 'specificity': 0.9532710280373832, 'confusion_matrix': [[714, 35], [272, 159]], 'true_negatives': 714, 'false_positives': 35, 'false_negatives': 272, 'true_positives': 159}","{'mcc': 0.38558558553475003, 'accuracy': 0.7237288135593221, 'precision': 0.6112531969309463, 'recall': 0.5786924939467313, 'f1': 0.5945273631840796, 'specificity': 0.8018252933507171, 'confusion_matrix': [[615, 152], [174, 239]], 'true_negatives': 615, 'false_positives': 152, 'false_negatives': 174, 'true_positives': 239}",-0.03295687937728958,-0.01610169491525426,0.08572736318407959,regression,0.03295687937728958
