protein_name,organism,n_samples,regression_metrics,classification_metrics,mcc_difference,accuracy_difference,f1_difference,better_model,mcc_improvement
CYP1A2,human,329,"{'mcc': 0.5238625628925131, 'accuracy': 0.8601823708206687, 'precision': 0.8709677419354839, 'recall': 0.391304347826087, 'f1': 0.54, 'specificity': 0.9846153846153847, 'confusion_matrix': [[256, 4], [42, 27]], 'true_negatives': 256, 'false_positives': 4, 'false_negatives': 42, 'true_positives': 27}","{'mcc': 0.55421034999719, 'accuracy': 0.8632218844984803, 'precision': 0.6964285714285714, 'recall': 0.582089552238806, 'f1': 0.6341463414634146, 'specificity': 0.9351145038167938, 'confusion_matrix': [[245, 17], [28, 39]], 'true_negatives': 245, 'false_positives': 17, 'false_negatives': 28, 'true_positives': 39}",0.030347787104676893,0.003039513677811523,0.0941463414634146,classification,0.030347787104676893
CYP2C9,human,466,"{'mcc': 0.3275357896270117, 'accuracy': 0.9656652360515021, 'precision': 1.0, 'recall': 0.1111111111111111, 'f1': 0.2, 'specificity': 1.0, 'confusion_matrix': [[448, 0], [16, 2]], 'true_negatives': 448, 'false_positives': 0, 'false_negatives': 16, 'true_positives': 2}","{'mcc': 0.3903008134477228, 'accuracy': 0.9570815450643777, 'precision': 0.4375, 'recall': 0.3888888888888889, 'f1': 0.4117647058823529, 'specificity': 0.9799107142857143, 'confusion_matrix': [[439, 9], [11, 7]], 'true_negatives': 439, 'false_positives': 9, 'false_negatives': 11, 'true_positives': 7}",0.06276502382071114,-0.008583690987124415,0.2117647058823529,classification,0.06276502382071114
CYP2D6,human,607,"{'mcc': 0.13412693352771246, 'accuracy': 0.9176276771004942, 'precision': 1.0, 'recall': 0.0196078431372549, 'f1': 0.038461538461538464, 'specificity': 1.0, 'confusion_matrix': [[556, 0], [50, 1]], 'true_negatives': 556, 'false_positives': 0, 'false_negatives': 50, 'true_positives': 1}","{'mcc': 0.3598136871777894, 'accuracy': 0.9093904448105437, 'precision': 0.4222222222222222, 'recall': 0.3958333333333333, 'f1': 0.40860215053763443, 'specificity': 0.9534883720930233, 'confusion_matrix': [[533, 26], [29, 19]], 'true_negatives': 533, 'false_positives': 26, 'false_negatives': 29, 'true_positives': 19}",0.22568675365007693,-0.008237232289950547,0.37014061207609594,classification,0.22568675365007693
CYP3A4,human,1387,"{'mcc': 0.603756294968378, 'accuracy': 0.9625090122566691, 'precision': 0.8604651162790697, 'recall': 0.4457831325301205, 'f1': 0.5873015873015873, 'specificity': 0.995398773006135, 'confusion_matrix': [[1298, 6], [46, 37]], 'true_negatives': 1298, 'false_positives': 6, 'false_negatives': 46, 'true_positives': 37}","{'mcc': 0.6146545431986137, 'accuracy': 0.9632299927901946, 'precision': 0.6666666666666666, 'recall': 0.6027397260273972, 'f1': 0.6330935251798561, 'specificity': 0.9832572298325722, 'confusion_matrix': [[1292, 22], [29, 44]], 'true_negatives': 1292, 'false_positives': 22, 'false_negatives': 29, 'true_positives': 44}",0.010898248230235663,0.0007209805335255393,0.04579193787826874,classification,0.010898248230235663
XDH,human,98,"{'mcc': 0.553770021218013, 'accuracy': 0.8469387755102041, 'precision': 0.7647058823529411, 'recall': 0.5416666666666666, 'f1': 0.6341463414634146, 'specificity': 0.9459459459459459, 'confusion_matrix': [[70, 4], [11, 13]], 'true_negatives': 70, 'false_positives': 4, 'false_negatives': 11, 'true_positives': 13}","{'mcc': 0.6488601140008428, 'accuracy': 0.8673469387755102, 'precision': 0.6923076923076923, 'recall': 0.782608695652174, 'f1': 0.7346938775510204, 'specificity': 0.8933333333333333, 'confusion_matrix': [[67, 8], [5, 18]], 'true_negatives': 67, 'false_positives': 8, 'false_negatives': 5, 'true_positives': 18}",0.09509009278282976,0.020408163265306034,0.1005475360876058,classification,0.09509009278282976
MAOA,human,1130,"{'mcc': 0.6004016045191157, 'accuracy': 0.9300884955752212, 'precision': 0.8571428571428571, 'recall': 0.46511627906976744, 'f1': 0.6030150753768844, 'specificity': 0.99000999000999, 'confusion_matrix': [[991, 10], [69, 60]], 'true_negatives': 991, 'false_positives': 10, 'false_negatives': 69, 'true_positives': 60}","{'mcc': 0.5929473205290307, 'accuracy': 0.9247787610619469, 'precision': 0.6886792452830188, 'recall': 0.584, 'f1': 0.6320346320346321, 'specificity': 0.9671641791044776, 'confusion_matrix': [[972, 33], [52, 73]], 'true_negatives': 972, 'false_positives': 33, 'false_negatives': 52, 'true_positives': 73}",-0.0074542839900850755,-0.005309734513274322,0.02901955665774769,regression,0.0074542839900850755
MAOB,human,1519,"{'mcc': 0.5968383765827125, 'accuracy': 0.8413429888084266, 'precision': 0.81875, 'recall': 0.5887640449438202, 'f1': 0.6849673202614379, 'specificity': 0.9459962756052142, 'confusion_matrix': [[1016, 58], [183, 262]], 'true_negatives': 1016, 'false_positives': 58, 'false_negatives': 183, 'true_positives': 262}","{'mcc': 0.6307834315904738, 'accuracy': 0.8406846609611587, 'precision': 0.7, 'recall': 0.7918552036199095, 'f1': 0.7430997876857749, 'specificity': 0.8607242339832869, 'confusion_matrix': [[927, 150], [92, 350]], 'true_negatives': 927, 'false_positives': 150, 'false_negatives': 92, 'true_positives': 350}",0.03394505500776124,-0.0006583278472679366,0.058132467424336975,classification,0.03394505500776124
ALDH1A1,human,150,"{'mcc': 0.5263452585897143, 'accuracy': 0.8133333333333334, 'precision': 0.8148148148148148, 'recall': 0.4888888888888889, 'f1': 0.6111111111111112, 'specificity': 0.9523809523809523, 'confusion_matrix': [[100, 5], [23, 22]], 'true_negatives': 100, 'false_positives': 5, 'false_negatives': 23, 'true_positives': 22}","{'mcc': 0.5845252732806607, 'accuracy': 0.8333333333333334, 'precision': 0.725, 'recall': 0.6744186046511628, 'f1': 0.6987951807228916, 'specificity': 0.897196261682243, 'confusion_matrix': [[96, 11], [14, 29]], 'true_negatives': 96, 'false_positives': 11, 'false_negatives': 14, 'true_positives': 29}",0.05818001469094647,0.020000000000000018,0.08768406961178044,classification,0.05818001469094647
HSD11B1,human,2046,"{'mcc': 0.6350055912306432, 'accuracy': 0.8328445747800587, 'precision': 0.8457059679767104, 'recall': 0.8993808049535603, 'f1': 0.8717179294823706, 'specificity': 0.7188328912466844, 'confusion_matrix': [[542, 212], [130, 1162]], 'true_negatives': 542, 'false_positives': 212, 'false_negatives': 130, 'true_positives': 1162}","{'mcc': 0.6294609839735548, 'accuracy': 0.8250244379276638, 'precision': 0.8682108626198083, 'recall': 0.84921875, 'f1': 0.858609794628752, 'specificity': 0.7845953002610966, 'confusion_matrix': [[601, 165], [193, 1087]], 'true_negatives': 601, 'false_positives': 165, 'false_negatives': 193, 'true_positives': 1087}",-0.005544607257088385,-0.00782013685239491,-0.013108134853618614,regression,0.005544607257088385
NR1I3,human,59,"{'mcc': 0.5602635585791081, 'accuracy': 0.8305084745762712, 'precision': 0.8181818181818182, 'recall': 0.5294117647058824, 'f1': 0.6428571428571429, 'specificity': 0.9523809523809523, 'confusion_matrix': [[40, 2], [8, 9]], 'true_negatives': 40, 'false_positives': 2, 'false_negatives': 8, 'true_positives': 9}","{'mcc': 0.7062555504078697, 'accuracy': 0.8813559322033898, 'precision': 0.8125, 'recall': 0.7647058823529411, 'f1': 0.7878787878787878, 'specificity': 0.9285714285714286, 'confusion_matrix': [[39, 3], [4, 13]], 'true_negatives': 39, 'false_positives': 3, 'false_negatives': 4, 'true_positives': 13}",0.14599199182876155,0.05084745762711862,0.14502164502164494,classification,0.14599199182876155
