protein,n_samples,status,cv_results,avg_accuracy,avg_precision,avg_recall,avg_f1,avg_auc
CYP1A2,339,success,"[{'fold': 1, 'accuracy': 0.7794117647058824, 'precision': 0.7931034482758621, 'recall': 0.71875, 'f1': 0.7540983606557377, 'auc': 0.8559027777777777, 'n_train': 271, 'n_test': 68, 'n_train_active': 112, 'n_train_inactive': 159, 'n_test_active': 32, 'n_test_inactive': 36, 'confusion_matrix': [[30, 6], [9, 23]]}, {'fold': 2, 'accuracy': 0.6764705882352942, 'precision': 0.64, 'recall': 0.5517241379310345, 'f1': 0.5925925925925926, 'auc': 0.7807250221043325, 'n_train': 271, 'n_test': 68, 'n_train_active': 115, 'n_train_inactive': 156, 'n_test_active': 29, 'n_test_inactive': 39, 'confusion_matrix': [[30, 9], [13, 16]]}, {'fold': 3, 'accuracy': 0.7794117647058824, 'precision': 0.7037037037037037, 'recall': 0.7307692307692307, 'f1': 0.7169811320754716, 'auc': 0.9052197802197802, 'n_train': 271, 'n_test': 68, 'n_train_active': 118, 'n_train_inactive': 153, 'n_test_active': 26, 'n_test_inactive': 42, 'confusion_matrix': [[34, 8], [7, 19]]}, {'fold': 4, 'accuracy': 0.8088235294117647, 'precision': 0.8076923076923077, 'recall': 0.7241379310344828, 'f1': 0.7636363636363637, 'auc': 0.8757736516357205, 'n_train': 271, 'n_test': 68, 'n_train_active': 115, 'n_train_inactive': 156, 'n_test_active': 29, 'n_test_inactive': 39, 'confusion_matrix': [[34, 5], [8, 21]]}, {'fold': 5, 'accuracy': 0.7910447761194029, 'precision': 0.7692307692307693, 'recall': 0.7142857142857143, 'f1': 0.7407407407407407, 'auc': 0.875, 'n_train': 272, 'n_test': 67, 'n_train_active': 116, 'n_train_inactive': 156, 'n_test_active': 28, 'n_test_inactive': 39, 'confusion_matrix': [[33, 6], [8, 20]]}]",0.7670324846356452,0.7427460457805285,0.6879334028040924,0.7136098379401812,0.8585242463475222
CYP2B6,33,success,"[{'fold': 1, 'accuracy': 0.8571428571428571, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'auc': 1.0, 'n_train': 26, 'n_test': 7, 'n_train_active': 5, 'n_train_inactive': 21, 'n_test_active': 1, 'n_test_inactive': 6, 'confusion_matrix': [[6, 0], [1, 0]]}, {'fold': 2, 'accuracy': 0.8571428571428571, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'auc': 0.25, 'n_train': 26, 'n_test': 7, 'n_train_active': 5, 'n_train_inactive': 21, 'n_test_active': 1, 'n_test_inactive': 6, 'confusion_matrix': [[6, 0], [1, 0]]}, {'fold': 3, 'accuracy': 0.5714285714285714, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'auc': 0.5, 'n_train': 26, 'n_test': 7, 'n_train_active': 4, 'n_train_inactive': 22, 'n_test_active': 2, 'n_test_inactive': 5, 'confusion_matrix': [[4, 1], [2, 0]]}, {'fold': 4, 'accuracy': 0.8333333333333334, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'auc': 0.8, 'n_train': 27, 'n_test': 6, 'n_train_active': 5, 'n_train_inactive': 22, 'n_test_active': 1, 'n_test_inactive': 5, 'confusion_matrix': [[5, 0], [1, 0]]}, {'fold': 5, 'accuracy': 0.8333333333333334, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'auc': 0.5, 'n_train': 27, 'n_test': 6, 'n_train_active': 5, 'n_train_inactive': 22, 'n_test_active': 1, 'n_test_inactive': 5, 'confusion_matrix': [[5, 0], [1, 0]]}]",0.7904761904761906,0.0,0.0,0.0,0.61
CYP2C9,466,success,"[{'fold': 1, 'accuracy': 0.8617021276595744, 'precision': 0.6842105263157895, 'recall': 0.65, 'f1': 0.6666666666666666, 'auc': 0.8179054054054054, 'n_train': 372, 'n_test': 94, 'n_train_active': 78, 'n_train_inactive': 294, 'n_test_active': 20, 'n_test_inactive': 74, 'confusion_matrix': [[68, 6], [7, 13]]}, {'fold': 2, 'accuracy': 0.9139784946236559, 'precision': 0.7, 'recall': 0.875, 'f1': 0.7777777777777778, 'auc': 0.9362824675324676, 'n_train': 373, 'n_test': 93, 'n_train_active': 82, 'n_train_inactive': 291, 'n_test_active': 16, 'n_test_inactive': 77, 'confusion_matrix': [[71, 6], [2, 14]]}, {'fold': 3, 'accuracy': 0.8279569892473119, 'precision': 0.6842105263157895, 'recall': 0.5652173913043478, 'f1': 0.6190476190476191, 'auc': 0.9083850931677019, 'n_train': 373, 'n_test': 93, 'n_train_active': 75, 'n_train_inactive': 298, 'n_test_active': 23, 'n_test_inactive': 70, 'confusion_matrix': [[64, 6], [10, 13]]}, {'fold': 4, 'accuracy': 0.8709677419354839, 'precision': 0.875, 'recall': 0.5833333333333334, 'f1': 0.7, 'auc': 0.8837560386473429, 'n_train': 373, 'n_test': 93, 'n_train_active': 74, 'n_train_inactive': 299, 'n_test_active': 24, 'n_test_inactive': 69, 'confusion_matrix': [[67, 2], [10, 14]]}, {'fold': 5, 'accuracy': 0.8924731182795699, 'precision': 0.8571428571428571, 'recall': 0.4, 'f1': 0.5454545454545454, 'auc': 0.8683760683760684, 'n_train': 373, 'n_test': 93, 'n_train_active': 83, 'n_train_inactive': 290, 'n_test_active': 15, 'n_test_inactive': 78, 'confusion_matrix': [[77, 1], [9, 6]]}]",0.8734156943491191,0.7601127819548872,0.6147101449275362,0.6617893217893218,0.8829410146257974
CYP2C19,165,success,"[{'fold': 1, 'accuracy': 0.696969696969697, 'precision': 0.5, 'recall': 0.2, 'f1': 0.2857142857142857, 'auc': 0.5630434782608695, 'n_train': 132, 'n_test': 33, 'n_train_active': 19, 'n_train_inactive': 113, 'n_test_active': 10, 'n_test_inactive': 23, 'confusion_matrix': [[21, 2], [8, 2]]}, {'fold': 2, 'accuracy': 0.8484848484848485, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'auc': 0.8964285714285716, 'n_train': 132, 'n_test': 33, 'n_train_active': 24, 'n_train_inactive': 108, 'n_test_active': 5, 'n_test_inactive': 28, 'confusion_matrix': [[28, 0], [5, 0]]}, {'fold': 3, 'accuracy': 0.8484848484848485, 'precision': 0.42857142857142855, 'recall': 0.75, 'f1': 0.5454545454545454, 'auc': 0.8879310344827586, 'n_train': 132, 'n_test': 33, 'n_train_active': 25, 'n_train_inactive': 107, 'n_test_active': 4, 'n_test_inactive': 29, 'confusion_matrix': [[25, 4], [1, 3]]}, {'fold': 4, 'accuracy': 0.8787878787878788, 'precision': 0.5, 'recall': 0.25, 'f1': 0.3333333333333333, 'auc': 0.7112068965517241, 'n_train': 132, 'n_test': 33, 'n_train_active': 25, 'n_train_inactive': 107, 'n_test_active': 4, 'n_test_inactive': 29, 'confusion_matrix': [[28, 1], [3, 1]]}, {'fold': 5, 'accuracy': 0.8484848484848485, 'precision': 0.6666666666666666, 'recall': 0.3333333333333333, 'f1': 0.4444444444444444, 'auc': 0.8858024691358025, 'n_train': 132, 'n_test': 33, 'n_train_active': 23, 'n_train_inactive': 109, 'n_test_active': 6, 'n_test_inactive': 27, 'confusion_matrix': [[26, 1], [4, 2]]}]",0.8242424242424242,0.41904761904761906,0.30666666666666664,0.3217893217893218,0.7888824899719453
CYP2D6,607,success,"[{'fold': 1, 'accuracy': 0.7950819672131147, 'precision': 0.7272727272727273, 'recall': 0.6, 'f1': 0.6575342465753424, 'auc': 0.8417682926829269, 'n_train': 485, 'n_test': 122, 'n_train_active': 155, 'n_train_inactive': 330, 'n_test_active': 40, 'n_test_inactive': 82, 'confusion_matrix': [[73, 9], [16, 24]]}, {'fold': 2, 'accuracy': 0.7950819672131147, 'precision': 0.8148148148148148, 'recall': 0.5238095238095238, 'f1': 0.6376811594202898, 'auc': 0.8458333333333333, 'n_train': 485, 'n_test': 122, 'n_train_active': 153, 'n_train_inactive': 332, 'n_test_active': 42, 'n_test_inactive': 80, 'confusion_matrix': [[75, 5], [20, 22]]}, {'fold': 3, 'accuracy': 0.7851239669421488, 'precision': 0.7333333333333333, 'recall': 0.55, 'f1': 0.6285714285714286, 'auc': 0.8195987654320988, 'n_train': 486, 'n_test': 121, 'n_train_active': 155, 'n_train_inactive': 331, 'n_test_active': 40, 'n_test_inactive': 81, 'confusion_matrix': [[73, 8], [18, 22]]}, {'fold': 4, 'accuracy': 0.7768595041322314, 'precision': 0.71875, 'recall': 0.5609756097560976, 'f1': 0.6301369863013698, 'auc': 0.7951219512195122, 'n_train': 486, 'n_test': 121, 'n_train_active': 154, 'n_train_inactive': 332, 'n_test_active': 41, 'n_test_inactive': 80, 'confusion_matrix': [[71, 9], [18, 23]]}, {'fold': 5, 'accuracy': 0.7520661157024794, 'precision': 0.5333333333333333, 'recall': 0.5, 'f1': 0.5161290322580645, 'auc': 0.777563202247191, 'n_train': 486, 'n_test': 121, 'n_train_active': 163, 'n_train_inactive': 323, 'n_test_active': 32, 'n_test_inactive': 89, 'confusion_matrix': [[75, 14], [16, 16]]}]",0.7808427042406179,0.7055008417508417,0.5469570267131243,0.6140105706252991,0.8159771089830125
CYP3A4,1387,success,"[{'fold': 1, 'accuracy': 0.9172661870503597, 'precision': 0.9375, 'recall': 0.6923076923076923, 'f1': 0.7964601769911505, 'auc': 0.9434091729866378, 'n_train': 1109, 'n_test': 278, 'n_train_active': 275, 'n_train_inactive': 834, 'n_test_active': 65, 'n_test_inactive': 213, 'confusion_matrix': [[210, 3], [20, 45]]}, {'fold': 2, 'accuracy': 0.8489208633093526, 'precision': 0.7962962962962963, 'recall': 0.581081081081081, 'f1': 0.671875, 'auc': 0.8810943296237415, 'n_train': 1109, 'n_test': 278, 'n_train_active': 266, 'n_train_inactive': 843, 'n_test_active': 74, 'n_test_inactive': 204, 'confusion_matrix': [[193, 11], [31, 43]]}, {'fold': 3, 'accuracy': 0.8628158844765343, 'precision': 0.8135593220338984, 'recall': 0.64, 'f1': 0.7164179104477612, 'auc': 0.9163036303630364, 'n_train': 1110, 'n_test': 277, 'n_train_active': 265, 'n_train_inactive': 845, 'n_test_active': 75, 'n_test_inactive': 202, 'confusion_matrix': [[191, 11], [27, 48]]}, {'fold': 4, 'accuracy': 0.8844765342960289, 'precision': 0.8181818181818182, 'recall': 0.6716417910447762, 'f1': 0.7377049180327869, 'auc': 0.9392679459843638, 'n_train': 1110, 'n_test': 277, 'n_train_active': 273, 'n_train_inactive': 837, 'n_test_active': 67, 'n_test_inactive': 210, 'confusion_matrix': [[200, 10], [22, 45]]}, {'fold': 5, 'accuracy': 0.8447653429602888, 'precision': 0.6481481481481481, 'recall': 0.5932203389830508, 'f1': 0.6194690265486725, 'auc': 0.8808894417664438, 'n_train': 1110, 'n_test': 277, 'n_train_active': 281, 'n_train_inactive': 829, 'n_test_active': 59, 'n_test_inactive': 218, 'confusion_matrix': [[199, 19], [24, 35]]}]",0.871648962418513,0.8027371169320322,0.6356501806833201,0.7083854064040742,0.9121929041448447
AOX1,17,success,"[{'fold': 1, 'accuracy': 0.75, 'precision': 0.75, 'recall': 1.0, 'f1': 0.8571428571428571, 'auc': 0.6666666666666666, 'n_train': 13, 'n_test': 4, 'n_train_active': 7, 'n_train_inactive': 6, 'n_test_active': 3, 'n_test_inactive': 1, 'confusion_matrix': [[0, 1], [0, 3]]}, {'fold': 2, 'accuracy': 0.75, 'precision': 0.75, 'recall': 1.0, 'f1': 0.8571428571428571, 'auc': 1.0, 'n_train': 13, 'n_test': 4, 'n_train_active': 7, 'n_train_inactive': 6, 'n_test_active': 3, 'n_test_inactive': 1, 'confusion_matrix': [[0, 1], [0, 3]]}, {'fold': 3, 'accuracy': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'auc': 0.0, 'n_train': 14, 'n_test': 3, 'n_train_active': 9, 'n_train_inactive': 5, 'n_test_active': 1, 'n_test_inactive': 2, 'confusion_matrix': [[0, 2], [1, 0]]}, {'fold': 4, 'accuracy': 0.3333333333333333, 'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'auc': 1.0, 'n_train': 14, 'n_test': 3, 'n_train_active': 9, 'n_train_inactive': 5, 'n_test_active': 1, 'n_test_inactive': 2, 'confusion_matrix': [[0, 2], [0, 1]]}, {'fold': 5, 'accuracy': 0.6666666666666666, 'precision': 0.6666666666666666, 'recall': 1.0, 'f1': 0.8, 'auc': 0.0, 'n_train': 14, 'n_test': 3, 'n_train_active': 8, 'n_train_inactive': 6, 'n_test_active': 2, 'n_test_inactive': 1, 'confusion_matrix': [[0, 1], [0, 2]]}]",0.5,0.5,0.8,0.6028571428571429,0.5333333333333333
XDH,98,success,"[{'fold': 1, 'accuracy': 0.85, 'precision': 0.8235294117647058, 'recall': 1.0, 'f1': 0.9032258064516129, 'auc': 0.9642857142857143, 'n_train': 78, 'n_test': 20, 'n_train_active': 63, 'n_train_inactive': 15, 'n_test_active': 14, 'n_test_inactive': 6, 'confusion_matrix': [[3, 3], [0, 14]]}, {'fold': 2, 'accuracy': 0.9, 'precision': 0.9375, 'recall': 0.9375, 'f1': 0.9375, 'auc': 0.953125, 'n_train': 78, 'n_test': 20, 'n_train_active': 61, 'n_train_inactive': 17, 'n_test_active': 16, 'n_test_inactive': 4, 'confusion_matrix': [[3, 1], [1, 15]]}, {'fold': 3, 'accuracy': 0.8, 'precision': 0.875, 'recall': 0.875, 'f1': 0.875, 'auc': 0.75, 'n_train': 78, 'n_test': 20, 'n_train_active': 61, 'n_train_inactive': 17, 'n_test_active': 16, 'n_test_inactive': 4, 'confusion_matrix': [[2, 2], [2, 14]]}, {'fold': 4, 'accuracy': 0.8421052631578947, 'precision': 0.8125, 'recall': 1.0, 'f1': 0.896551724137931, 'auc': 0.9871794871794872, 'n_train': 79, 'n_test': 19, 'n_train_active': 64, 'n_train_inactive': 15, 'n_test_active': 13, 'n_test_inactive': 6, 'confusion_matrix': [[3, 3], [0, 13]]}, {'fold': 5, 'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'auc': 1.0, 'n_train': 79, 'n_test': 19, 'n_train_active': 59, 'n_train_inactive': 20, 'n_test_active': 18, 'n_test_inactive': 1, 'confusion_matrix': [[1, 0], [0, 18]]}]",0.8784210526315789,0.8897058823529411,0.9625,0.9224555061179089,0.9309180402930404
MAOA,1468,success,"[{'fold': 1, 'accuracy': 0.8605442176870748, 'precision': 0.8082191780821918, 'recall': 0.686046511627907, 'f1': 0.7421383647798742, 'auc': 0.8847830948121644, 'n_train': 1174, 'n_test': 294, 'n_train_active': 352, 'n_train_inactive': 822, 'n_test_active': 86, 'n_test_inactive': 208, 'confusion_matrix': [[194, 14], [27, 59]]}, {'fold': 2, 'accuracy': 0.826530612244898, 'precision': 0.8382352941176471, 'recall': 0.5876288659793815, 'f1': 0.6909090909090909, 'auc': 0.8748233816526245, 'n_train': 1174, 'n_test': 294, 'n_train_active': 341, 'n_train_inactive': 833, 'n_test_active': 97, 'n_test_inactive': 197, 'confusion_matrix': [[186, 11], [40, 57]]}, {'fold': 3, 'accuracy': 0.8775510204081632, 'precision': 0.8072289156626506, 'recall': 0.7701149425287356, 'f1': 0.788235294117647, 'auc': 0.9253428841134987, 'n_train': 1174, 'n_test': 294, 'n_train_active': 351, 'n_train_inactive': 823, 'n_test_active': 87, 'n_test_inactive': 207, 'confusion_matrix': [[191, 16], [20, 67]]}, {'fold': 4, 'accuracy': 0.8532423208191127, 'precision': 0.7857142857142857, 'recall': 0.5866666666666667, 'f1': 0.6717557251908397, 'auc': 0.8623241590214068, 'n_train': 1175, 'n_test': 293, 'n_train_active': 363, 'n_train_inactive': 812, 'n_test_active': 75, 'n_test_inactive': 218, 'confusion_matrix': [[206, 12], [31, 44]]}, {'fold': 5, 'accuracy': 0.863481228668942, 'precision': 0.8732394366197183, 'recall': 0.6666666666666666, 'f1': 0.7560975609756098, 'auc': 0.8848924731182797, 'n_train': 1175, 'n_test': 293, 'n_train_active': 345, 'n_train_inactive': 830, 'n_test_active': 93, 'n_test_inactive': 200, 'confusion_matrix': [[191, 9], [31, 62]]}]",0.8562698799656381,0.8225274220392986,0.6594247306938714,0.7298272071946122,0.8864331985435948
MAOB,1796,success,"[{'fold': 1, 'accuracy': 0.8027777777777778, 'precision': 0.7668393782383419, 'recall': 0.8505747126436781, 'f1': 0.8065395095367848, 'auc': 0.8875602521319985, 'n_train': 1436, 'n_test': 360, 'n_train_active': 771, 'n_train_inactive': 665, 'n_test_active': 174, 'n_test_inactive': 186, 'confusion_matrix': [[141, 45], [26, 148]]}, {'fold': 2, 'accuracy': 0.83008356545961, 'precision': 0.8350515463917526, 'recall': 0.8481675392670157, 'f1': 0.8415584415584415, 'auc': 0.8903328347045625, 'n_train': 1437, 'n_test': 359, 'n_train_active': 754, 'n_train_inactive': 683, 'n_test_active': 191, 'n_test_inactive': 168, 'confusion_matrix': [[136, 32], [29, 162]]}, {'fold': 3, 'accuracy': 0.8690807799442897, 'precision': 0.8541666666666666, 'recall': 0.9447004608294931, 'f1': 0.8971553610503282, 'auc': 0.9348185889530733, 'n_train': 1437, 'n_test': 359, 'n_train_active': 728, 'n_train_inactive': 709, 'n_test_active': 217, 'n_test_inactive': 142, 'confusion_matrix': [[107, 35], [12, 205]]}, {'fold': 4, 'accuracy': 0.8245125348189415, 'precision': 0.7979274611398963, 'recall': 0.8651685393258427, 'f1': 0.8301886792452831, 'auc': 0.9047737289713825, 'n_train': 1437, 'n_test': 359, 'n_train_active': 767, 'n_train_inactive': 670, 'n_test_active': 178, 'n_test_inactive': 181, 'confusion_matrix': [[142, 39], [24, 154]]}, {'fold': 5, 'accuracy': 0.7966573816155988, 'precision': 0.7828282828282829, 'recall': 0.8378378378378378, 'f1': 0.8093994778067886, 'auc': 0.8954644299471886, 'n_train': 1437, 'n_test': 359, 'n_train_active': 760, 'n_train_inactive': 677, 'n_test_active': 185, 'n_test_inactive': 174, 'confusion_matrix': [[131, 43], [30, 155]]}]",0.8246224079232437,0.8073626670529881,0.8692898179807736,0.8369682938395252,0.9025899669416411
ALDH1A1,150,success,"[{'fold': 1, 'accuracy': 0.7333333333333333, 'precision': 0.7307692307692307, 'recall': 0.95, 'f1': 0.8260869565217391, 'auc': 0.8425, 'n_train': 120, 'n_test': 30, 'n_train_active': 83, 'n_train_inactive': 37, 'n_test_active': 20, 'n_test_inactive': 10, 'confusion_matrix': [[3, 7], [1, 19]]}, {'fold': 2, 'accuracy': 0.8666666666666667, 'precision': 0.9047619047619048, 'recall': 0.9047619047619048, 'f1': 0.9047619047619048, 'auc': 0.9470899470899471, 'n_train': 120, 'n_test': 30, 'n_train_active': 82, 'n_train_inactive': 38, 'n_test_active': 21, 'n_test_inactive': 9, 'confusion_matrix': [[7, 2], [2, 19]]}, {'fold': 3, 'accuracy': 0.8333333333333334, 'precision': 0.84, 'recall': 0.9545454545454546, 'f1': 0.8936170212765957, 'auc': 0.9375, 'n_train': 120, 'n_test': 30, 'n_train_active': 81, 'n_train_inactive': 39, 'n_test_active': 22, 'n_test_inactive': 8, 'confusion_matrix': [[4, 4], [1, 21]]}, {'fold': 4, 'accuracy': 0.7666666666666667, 'precision': 0.85, 'recall': 0.8095238095238095, 'f1': 0.8292682926829268, 'auc': 0.8359788359788358, 'n_train': 120, 'n_test': 30, 'n_train_active': 82, 'n_train_inactive': 38, 'n_test_active': 21, 'n_test_inactive': 9, 'confusion_matrix': [[6, 3], [4, 17]]}, {'fold': 5, 'accuracy': 0.8333333333333334, 'precision': 0.85, 'recall': 0.8947368421052632, 'f1': 0.8717948717948718, 'auc': 0.9425837320574163, 'n_train': 120, 'n_test': 30, 'n_train_active': 84, 'n_train_inactive': 36, 'n_test_active': 19, 'n_test_inactive': 11, 'confusion_matrix': [[8, 3], [2, 17]]}]",0.8066666666666666,0.8351062271062271,0.9027136021872864,0.8651058094076077,0.9011305030252398
ADH1A,0,no_activities,,,,,,
HSD11B1,2725,success,"[{'fold': 1, 'accuracy': 0.8807339449541285, 'precision': 0.91, 'recall': 0.9578947368421052, 'f1': 0.9333333333333333, 'auc': 0.8698796992481203, 'n_train': 2180, 'n_test': 545, 'n_train_active': 1926, 'n_train_inactive': 254, 'n_test_active': 475, 'n_test_inactive': 70, 'confusion_matrix': [[25, 45], [20, 455]]}, {'fold': 2, 'accuracy': 0.8715596330275229, 'precision': 0.9012096774193549, 'recall': 0.9551282051282052, 'f1': 0.9273858921161826, 'auc': 0.8988511488511489, 'n_train': 2180, 'n_test': 545, 'n_train_active': 1933, 'n_train_inactive': 247, 'n_test_active': 468, 'n_test_inactive': 77, 'confusion_matrix': [[28, 49], [21, 447]]}, {'fold': 3, 'accuracy': 0.8917431192660551, 'precision': 0.9268774703557312, 'recall': 0.955193482688391, 'f1': 0.9408224674022067, 'auc': 0.8736893716527118, 'n_train': 2180, 'n_test': 545, 'n_train_active': 1910, 'n_train_inactive': 270, 'n_test_active': 491, 'n_test_inactive': 54, 'confusion_matrix': [[17, 37], [22, 469]]}, {'fold': 4, 'accuracy': 0.8862385321100917, 'precision': 0.9141716566866267, 'recall': 0.960167714884696, 'f1': 0.9366053169734151, 'auc': 0.8422431865828092, 'n_train': 2180, 'n_test': 545, 'n_train_active': 1924, 'n_train_inactive': 256, 'n_test_active': 477, 'n_test_inactive': 68, 'confusion_matrix': [[25, 43], [19, 458]]}, {'fold': 5, 'accuracy': 0.9045871559633027, 'precision': 0.9244186046511628, 'recall': 0.9734693877551021, 'f1': 0.94831013916501, 'auc': 0.8666233766233765, 'n_train': 2180, 'n_test': 545, 'n_train_active': 1911, 'n_train_inactive': 269, 'n_test_active': 490, 'n_test_inactive': 55, 'confusion_matrix': [[16, 39], [13, 477]]}]",0.8869724770642202,0.9153354818225752,0.9603707054596999,0.9372914297980295,0.8702573565916334
AKR7A3,0,no_activities,,,,,,
FMO1,0,no_activities,,,,,,
AHR,31,success,"[{'fold': 1, 'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'auc': None, 'n_train': 24, 'n_test': 7, 'n_train_active': 22, 'n_train_inactive': 2, 'n_test_active': 7, 'n_test_inactive': 0, 'confusion_matrix': [[7]]}, {'fold': 2, 'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'auc': None, 'n_train': 25, 'n_test': 6, 'n_train_active': 23, 'n_train_inactive': 2, 'n_test_active': 6, 'n_test_inactive': 0, 'confusion_matrix': [[6]]}, {'fold': 3, 'accuracy': 0.8333333333333334, 'precision': 0.8333333333333334, 'recall': 1.0, 'f1': 0.9090909090909091, 'auc': 0.8, 'n_train': 25, 'n_test': 6, 'n_train_active': 24, 'n_train_inactive': 1, 'n_test_active': 5, 'n_test_inactive': 1, 'confusion_matrix': [[0, 1], [0, 5]]}, {'fold': 4, 'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'auc': None, 'n_train': 25, 'n_test': 6, 'n_train_active': 23, 'n_train_inactive': 2, 'n_test_active': 6, 'n_test_inactive': 0, 'confusion_matrix': [[6]]}, {'fold': 5, 'accuracy': 0.8333333333333334, 'precision': 0.8333333333333334, 'recall': 1.0, 'f1': 0.9090909090909091, 'auc': 1.0, 'n_train': 25, 'n_test': 6, 'n_train_active': 24, 'n_train_inactive': 1, 'n_test_active': 5, 'n_test_inactive': 1, 'confusion_matrix': [[0, 1], [0, 5]]}]",0.9333333333333333,0.9333333333333333,1.0,0.9636363636363636,0.9
NR1I3,59,success,"[{'fold': 1, 'accuracy': 0.6666666666666666, 'precision': 1.0, 'recall': 0.42857142857142855, 'f1': 0.6, 'auc': 0.8857142857142857, 'n_train': 47, 'n_test': 12, 'n_train_active': 23, 'n_train_inactive': 24, 'n_test_active': 7, 'n_test_inactive': 5, 'confusion_matrix': [[5, 0], [4, 3]]}, {'fold': 2, 'accuracy': 0.6666666666666666, 'precision': 0.8, 'recall': 0.5714285714285714, 'f1': 0.6666666666666666, 'auc': 0.8857142857142857, 'n_train': 47, 'n_test': 12, 'n_train_active': 23, 'n_train_inactive': 24, 'n_test_active': 7, 'n_test_inactive': 5, 'confusion_matrix': [[4, 1], [3, 4]]}, {'fold': 3, 'accuracy': 0.5833333333333334, 'precision': 0.42857142857142855, 'recall': 0.75, 'f1': 0.5454545454545454, 'auc': 0.84375, 'n_train': 47, 'n_test': 12, 'n_train_active': 26, 'n_train_inactive': 21, 'n_test_active': 4, 'n_test_inactive': 8, 'confusion_matrix': [[4, 4], [1, 3]]}, {'fold': 4, 'accuracy': 0.6666666666666666, 'precision': 0.8333333333333334, 'recall': 0.625, 'f1': 0.7142857142857143, 'auc': 0.796875, 'n_train': 47, 'n_test': 12, 'n_train_active': 22, 'n_train_inactive': 25, 'n_test_active': 8, 'n_test_inactive': 4, 'confusion_matrix': [[3, 1], [3, 5]]}, {'fold': 5, 'accuracy': 0.9090909090909091, 'precision': 0.8, 'recall': 1.0, 'f1': 0.8888888888888888, 'auc': 1.0, 'n_train': 48, 'n_test': 11, 'n_train_active': 26, 'n_train_inactive': 22, 'n_test_active': 4, 'n_test_inactive': 7, 'confusion_matrix': [[6, 1], [0, 4]]}]",0.6984848484848485,0.7723809523809525,0.675,0.683059163059163,0.8824107142857143
