protein,n_samples,status,cv_results,avg_accuracy,avg_precision,avg_recall,avg_f1,avg_auc
CYP1A2,339,success,"[{""fold"": 1, ""accuracy"": 0.8529411764705882, ""precision"": 0.8823529411764706, ""recall"": 0.6521739130434783, ""f1"": 0.75, ""auc"": NaN, ""n_train"": 271.0, ""n_test"": 68.0, ""n_train_active"": 81.0, ""n_train_inactive"": 190.0, ""n_test_active"": 23.0, ""n_test_inactive"": 45.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 2, ""accuracy"": 0.7794117647058824, ""precision"": 0.5625, ""recall"": 0.5294117647058824, ""f1"": 0.5454545454545454, ""auc"": NaN, ""n_train"": 271.0, ""n_test"": 68.0, ""n_train_active"": 87.0, ""n_train_inactive"": 184.0, ""n_test_active"": 17.0, ""n_test_inactive"": 51.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 3, ""accuracy"": 0.8382352941176471, ""precision"": 0.8125, ""recall"": 0.6190476190476191, ""f1"": 0.7027027027027027, ""auc"": NaN, ""n_train"": 271.0, ""n_test"": 68.0, ""n_train_active"": 83.0, ""n_train_inactive"": 188.0, ""n_test_active"": 21.0, ""n_test_inactive"": 47.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 4, ""accuracy"": 0.8088235294117647, ""precision"": 0.8, ""recall"": 0.5454545454545454, ""f1"": 0.6486486486486487, ""auc"": NaN, ""n_train"": 271.0, ""n_test"": 68.0, ""n_train_active"": 82.0, ""n_train_inactive"": 189.0, ""n_test_active"": 22.0, ""n_test_inactive"": 46.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 5, ""accuracy"": 0.835820895522388, ""precision"": 0.8571428571428571, ""recall"": 0.5714285714285714, ""f1"": 0.6857142857142857, ""auc"": NaN, ""n_train"": 272.0, ""n_test"": 67.0, ""n_train_active"": 83.0, ""n_train_inactive"": 189.0, ""n_test_active"": 21.0, ""n_test_inactive"": 46.0, ""confusion_matrix"": [[0, 0], [0, 0]]}]",0.823046532045654,0.7828991596638656,0.5835032827360193,0.6665040365040366,
CYP2B6,33,failed,[],,,,,
CYP2C9,466,success,"[{""fold"": 1, ""accuracy"": 0.925531914893617, ""precision"": 0.6, ""recall"": 0.375, ""f1"": 0.4615384615384615, ""auc"": NaN, ""n_train"": 372.0, ""n_test"": 94.0, ""n_train_active"": 33.0, ""n_train_inactive"": 339.0, ""n_test_active"": 8.0, ""n_test_inactive"": 86.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 2, ""accuracy"": 0.946236559139785, ""precision"": 0.7, ""recall"": 0.7777777777777778, ""f1"": 0.7368421052631579, ""auc"": NaN, ""n_train"": 373.0, ""n_test"": 93.0, ""n_train_active"": 32.0, ""n_train_inactive"": 341.0, ""n_test_active"": 9.0, ""n_test_inactive"": 84.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 3, ""accuracy"": 0.956989247311828, ""precision"": 1.0, ""recall"": 0.5555555555555556, ""f1"": 0.7142857142857143, ""auc"": NaN, ""n_train"": 373.0, ""n_test"": 93.0, ""n_train_active"": 32.0, ""n_train_inactive"": 341.0, ""n_test_active"": 9.0, ""n_test_inactive"": 84.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 4, ""accuracy"": 0.913978494623656, ""precision"": 0.8, ""recall"": 0.3636363636363636, ""f1"": 0.5, ""auc"": NaN, ""n_train"": 373.0, ""n_test"": 93.0, ""n_train_active"": 30.0, ""n_train_inactive"": 343.0, ""n_test_active"": 11.0, ""n_test_inactive"": 82.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 5, ""accuracy"": 0.978494623655914, ""precision"": 1.0, ""recall"": 0.5, ""f1"": 0.6666666666666666, ""auc"": NaN, ""n_train"": 373.0, ""n_test"": 93.0, ""n_train_active"": 37.0, ""n_train_inactive"": 336.0, ""n_test_active"": 4.0, ""n_test_inactive"": 89.0, ""confusion_matrix"": [[0, 0], [0, 0]]}]",0.9442461679249601,0.82,0.5143939393939394,0.6158665895508,
CYP2C19,165,success,"[{""fold"": 1, ""accuracy"": 0.9090909090909092, ""precision"": 0.0, ""recall"": 0.0, ""f1"": 0.0, ""auc"": NaN, ""n_train"": 132.0, ""n_test"": 33.0, ""n_train_active"": 12.0, ""n_train_inactive"": 120.0, ""n_test_active"": 2.0, ""n_test_inactive"": 31.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 2, ""accuracy"": 0.8787878787878788, ""precision"": 0.0, ""recall"": 0.0, ""f1"": 0.0, ""auc"": NaN, ""n_train"": 132.0, ""n_test"": 33.0, ""n_train_active"": 10.0, ""n_train_inactive"": 122.0, ""n_test_active"": 4.0, ""n_test_inactive"": 29.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 3, ""accuracy"": 0.9393939393939394, ""precision"": 0.5, ""recall"": 0.5, ""f1"": 0.5, ""auc"": NaN, ""n_train"": 132.0, ""n_test"": 33.0, ""n_train_active"": 12.0, ""n_train_inactive"": 120.0, ""n_test_active"": 2.0, ""n_test_inactive"": 31.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 4, ""accuracy"": 0.9090909090909092, ""precision"": 0.5, ""recall"": 0.3333333333333333, ""f1"": 0.4, ""auc"": NaN, ""n_train"": 132.0, ""n_test"": 33.0, ""n_train_active"": 11.0, ""n_train_inactive"": 121.0, ""n_test_active"": 3.0, ""n_test_inactive"": 30.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 5, ""accuracy"": 0.9090909090909092, ""precision"": 0.0, ""recall"": 0.0, ""f1"": 0.0, ""auc"": NaN, ""n_train"": 132.0, ""n_test"": 33.0, ""n_train_active"": 11.0, ""n_train_inactive"": 121.0, ""n_test_active"": 3.0, ""n_test_inactive"": 30.0, ""confusion_matrix"": [[0, 0], [0, 0]]}]",0.9090909090909092,0.2,0.16666666666666666,0.18,
CYP2D6,607,success,"[{""fold"": 1, ""accuracy"": 0.9098360655737704, ""precision"": 0.9090909090909092, ""recall"": 0.5, ""f1"": 0.6451612903225806, ""auc"": NaN, ""n_train"": 485.0, ""n_test"": 122.0, ""n_train_active"": 78.0, ""n_train_inactive"": 407.0, ""n_test_active"": 20.0, ""n_test_inactive"": 102.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 2, ""accuracy"": 0.860655737704918, ""precision"": 0.6363636363636364, ""recall"": 0.35, ""f1"": 0.4516129032258064, ""auc"": NaN, ""n_train"": 485.0, ""n_test"": 122.0, ""n_train_active"": 78.0, ""n_train_inactive"": 407.0, ""n_test_active"": 20.0, ""n_test_inactive"": 102.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 3, ""accuracy"": 0.8099173553719008, ""precision"": 0.1666666666666666, ""recall"": 0.0526315789473684, ""f1"": 0.08, ""auc"": NaN, ""n_train"": 486.0, ""n_test"": 121.0, ""n_train_active"": 79.0, ""n_train_inactive"": 407.0, ""n_test_active"": 19.0, ""n_test_inactive"": 102.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 4, ""accuracy"": 0.8760330578512396, ""precision"": 0.7058823529411765, ""recall"": 0.5454545454545454, ""f1"": 0.6153846153846154, ""auc"": NaN, ""n_train"": 486.0, ""n_test"": 121.0, ""n_train_active"": 76.0, ""n_train_inactive"": 410.0, ""n_test_active"": 22.0, ""n_test_inactive"": 99.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 5, ""accuracy"": 0.8842975206611571, ""precision"": 0.6666666666666666, ""recall"": 0.3529411764705882, ""f1"": 0.4615384615384615, ""auc"": NaN, ""n_train"": 486.0, ""n_test"": 121.0, ""n_train_active"": 81.0, ""n_train_inactive"": 405.0, ""n_test_active"": 17.0, ""n_test_inactive"": 104.0, ""confusion_matrix"": [[0, 0], [0, 0]]}]",0.8681479474325972,0.6169340463458111,0.3602054601745004,0.45073945409429284,
CYP3A4,1387,success,"[{""fold"": 1, ""accuracy"": 0.9388489208633094, ""precision"": 0.78125, ""recall"": 0.7142857142857143, ""f1"": 0.746268656716418, ""auc"": NaN, ""n_train"": 1109.0, ""n_test"": 278.0, ""n_train_active"": 171.0, ""n_train_inactive"": 938.0, ""n_test_active"": 35.0, ""n_test_inactive"": 243.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 2, ""accuracy"": 0.9136690647482014, ""precision"": 0.8275862068965517, ""recall"": 0.5581395348837209, ""f1"": 0.6666666666666666, ""auc"": NaN, ""n_train"": 1109.0, ""n_test"": 278.0, ""n_train_active"": 163.0, ""n_train_inactive"": 946.0, ""n_test_active"": 43.0, ""n_test_inactive"": 235.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 3, ""accuracy"": 0.9205776173285198, ""precision"": 0.8780487804878049, ""recall"": 0.6792452830188679, ""f1"": 0.7659574468085106, ""auc"": NaN, ""n_train"": 1110.0, ""n_test"": 277.0, ""n_train_active"": 153.0, ""n_train_inactive"": 957.0, ""n_test_active"": 53.0, ""n_test_inactive"": 224.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 4, ""accuracy"": 0.9386281588447654, ""precision"": 0.9117647058823528, ""recall"": 0.6888888888888889, ""f1"": 0.7848101265822784, ""auc"": NaN, ""n_train"": 1110.0, ""n_test"": 277.0, ""n_train_active"": 161.0, ""n_train_inactive"": 949.0, ""n_test_active"": 45.0, ""n_test_inactive"": 232.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 5, ""accuracy"": 0.9133574007220217, ""precision"": 0.625, ""recall"": 0.5, ""f1"": 0.5555555555555556, ""auc"": NaN, ""n_train"": 1110.0, ""n_test"": 277.0, ""n_train_active"": 176.0, ""n_train_inactive"": 934.0, ""n_test_active"": 30.0, ""n_test_inactive"": 247.0, ""confusion_matrix"": [[0, 0], [0, 0]]}]",0.9250162325013636,0.8047299386533417,0.6281118842154385,0.7038516904658858,
AOX1,17,success,"[{""fold"": 1, ""accuracy"": 0.75, ""precision"": 0.5, ""recall"": 1.0, ""f1"": 0.6666666666666666, ""auc"": NaN, ""n_train"": 13.0, ""n_test"": 4.0, ""n_train_active"": 5.0, ""n_train_inactive"": 8.0, ""n_test_active"": 1.0, ""n_test_inactive"": 3.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 2, ""accuracy"": 0.25, ""precision"": 0.0, ""recall"": 0.0, ""f1"": 0.0, ""auc"": NaN, ""n_train"": 13.0, ""n_test"": 4.0, ""n_train_active"": 4.0, ""n_train_inactive"": 9.0, ""n_test_active"": 2.0, ""n_test_inactive"": 2.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 3, ""accuracy"": 0.6666666666666666, ""precision"": 0.0, ""recall"": 0.0, ""f1"": 0.0, ""auc"": NaN, ""n_train"": 14.0, ""n_test"": 3.0, ""n_train_active"": 5.0, ""n_train_inactive"": 9.0, ""n_test_active"": 1.0, ""n_test_inactive"": 2.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 4, ""accuracy"": 0.6666666666666666, ""precision"": 0.0, ""recall"": 0.0, ""f1"": 0.0, ""auc"": NaN, ""n_train"": 14.0, ""n_test"": 3.0, ""n_train_active"": 5.0, ""n_train_inactive"": 9.0, ""n_test_active"": 1.0, ""n_test_inactive"": 2.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 5, ""accuracy"": 0.3333333333333333, ""precision"": 0.0, ""recall"": 0.0, ""f1"": 0.0, ""auc"": NaN, ""n_train"": 14.0, ""n_test"": 3.0, ""n_train_active"": 5.0, ""n_train_inactive"": 9.0, ""n_test_active"": 1.0, ""n_test_inactive"": 2.0, ""confusion_matrix"": [[0, 0], [0, 0]]}]",0.5333333333333333,0.1,0.2,0.13333333333333333,
XDH,98,success,"[{""fold"": 1, ""accuracy"": 0.9, ""precision"": 0.9, ""recall"": 0.9, ""f1"": 0.9, ""auc"": NaN, ""n_train"": 78.0, ""n_test"": 20.0, ""n_train_active"": 40.0, ""n_train_inactive"": 38.0, ""n_test_active"": 10.0, ""n_test_inactive"": 10.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 2, ""accuracy"": 0.8, ""precision"": 0.875, ""recall"": 0.7, ""f1"": 0.7777777777777778, ""auc"": NaN, ""n_train"": 78.0, ""n_test"": 20.0, ""n_train_active"": 40.0, ""n_train_inactive"": 38.0, ""n_test_active"": 10.0, ""n_test_inactive"": 10.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 3, ""accuracy"": 0.75, ""precision"": 1.0, ""recall"": 0.6153846153846154, ""f1"": 0.7619047619047619, ""auc"": NaN, ""n_train"": 78.0, ""n_test"": 20.0, ""n_train_active"": 37.0, ""n_train_inactive"": 41.0, ""n_test_active"": 13.0, ""n_test_inactive"": 7.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 4, ""accuracy"": 0.7894736842105263, ""precision"": 0.6, ""recall"": 1.0, ""f1"": 0.75, ""auc"": NaN, ""n_train"": 79.0, ""n_test"": 19.0, ""n_train_active"": 44.0, ""n_train_inactive"": 35.0, ""n_test_active"": 6.0, ""n_test_inactive"": 13.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 5, ""accuracy"": 0.7894736842105263, ""precision"": 0.7692307692307693, ""recall"": 0.9090909090909092, ""f1"": 0.8333333333333334, ""auc"": NaN, ""n_train"": 79.0, ""n_test"": 19.0, ""n_train_active"": 39.0, ""n_train_inactive"": 40.0, ""n_test_active"": 11.0, ""n_test_inactive"": 8.0, ""confusion_matrix"": [[0, 0], [0, 0]]}]",0.8057894736842106,0.8288461538461538,0.824895104895105,0.8046031746031745,
MAOA,1468,success,"[{""fold"": 1, ""accuracy"": 0.8775510204081632, ""precision"": 0.7777777777777778, ""recall"": 0.5737704918032787, ""f1"": 0.660377358490566, ""auc"": NaN, ""n_train"": 1174.0, ""n_test"": 294.0, ""n_train_active"": 231.0, ""n_train_inactive"": 943.0, ""n_test_active"": 61.0, ""n_test_inactive"": 233.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 2, ""accuracy"": 0.9013605442176872, ""precision"": 0.8974358974358975, ""recall"": 0.5833333333333334, ""f1"": 0.7070707070707071, ""auc"": NaN, ""n_train"": 1174.0, ""n_test"": 294.0, ""n_train_active"": 232.0, ""n_train_inactive"": 942.0, ""n_test_active"": 60.0, ""n_test_inactive"": 234.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 3, ""accuracy"": 0.8843537414965986, ""precision"": 0.7391304347826086, ""recall"": 0.6071428571428571, ""f1"": 0.6666666666666666, ""auc"": NaN, ""n_train"": 1174.0, ""n_test"": 294.0, ""n_train_active"": 236.0, ""n_train_inactive"": 938.0, ""n_test_active"": 56.0, ""n_test_inactive"": 238.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 4, ""accuracy"": 0.863481228668942, ""precision"": 0.7058823529411765, ""recall"": 0.4444444444444444, ""f1"": 0.5454545454545454, ""auc"": NaN, ""n_train"": 1175.0, ""n_test"": 293.0, ""n_train_active"": 238.0, ""n_train_inactive"": 937.0, ""n_test_active"": 54.0, ""n_test_inactive"": 239.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 5, ""accuracy"": 0.8907849829351536, ""precision"": 0.7543859649122807, ""recall"": 0.7049180327868853, ""f1"": 0.7288135593220338, ""auc"": NaN, ""n_train"": 1175.0, ""n_test"": 293.0, ""n_train_active"": 231.0, ""n_train_inactive"": 944.0, ""n_test_active"": 61.0, ""n_test_inactive"": 232.0, ""confusion_matrix"": [[0, 0], [0, 0]]}]",0.8835063035453089,0.7749224855699482,0.5827218319021599,0.6616765674009037,
MAOB,1795,success,"[{""fold"": 1, ""accuracy"": 0.8579387186629527, ""precision"": 0.8153846153846154, ""recall"": 0.7969924812030075, ""f1"": 0.8060836501901141, ""auc"": NaN, ""n_train"": 1436.0, ""n_test"": 359.0, ""n_train_active"": 598.0, ""n_train_inactive"": 838.0, ""n_test_active"": 133.0, ""n_test_inactive"": 226.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 2, ""accuracy"": 0.8551532033426184, ""precision"": 0.8156028368794326, ""recall"": 0.8156028368794326, ""f1"": 0.8156028368794326, ""auc"": NaN, ""n_train"": 1436.0, ""n_test"": 359.0, ""n_train_active"": 590.0, ""n_train_inactive"": 846.0, ""n_test_active"": 141.0, ""n_test_inactive"": 218.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 3, ""accuracy"": 0.7883008356545961, ""precision"": 0.7577639751552795, ""recall"": 0.7672955974842768, ""f1"": 0.7625, ""auc"": NaN, ""n_train"": 1436.0, ""n_test"": 359.0, ""n_train_active"": 572.0, ""n_train_inactive"": 864.0, ""n_test_active"": 159.0, ""n_test_inactive"": 200.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 4, ""accuracy"": 0.8133704735376045, ""precision"": 0.7837837837837838, ""recall"": 0.7682119205298014, ""f1"": 0.7759197324414716, ""auc"": NaN, ""n_train"": 1436.0, ""n_test"": 359.0, ""n_train_active"": 580.0, ""n_train_inactive"": 856.0, ""n_test_active"": 151.0, ""n_test_inactive"": 208.0, ""confusion_matrix"": [[0, 0], [0, 0]]}, {""fold"": 5, ""accuracy"": 0.8245125348189415, ""precision"": 0.8333333333333334, ""recall"": 0.7142857142857143, ""f1"": 0.7692307692307693, ""auc"": NaN, ""n_train"": 1436.0, ""n_test"": 359.0, ""n_train_active"": 584.0, ""n_train_inactive"": 852.0, ""n_test_active"": 147.0, ""n_test_inactive"": 212.0, ""confusion_matrix"": [[0, 0], [0, 0]]}]",0.8278551532033426,0.801173708907289,0.7724777100764466,0.7858673977483575,
