protein,n_samples,n_active,n_inactive,fold,accuracy,precision,recall,f1_score,n_train,n_test,n_train_active,n_train_inactive,n_test_active,n_test_inactive
CYP1A2,339,104,235,1.0,0.8529411764705882,0.8823529411764706,0.6521739130434783,0.75,271.0,68.0,81.0,190.0,23.0,45.0
CYP1A2,339,104,235,2.0,0.7794117647058824,0.5625,0.5294117647058824,0.5454545454545454,271.0,68.0,87.0,184.0,17.0,51.0
CYP1A2,339,104,235,3.0,0.8382352941176471,0.8125,0.6190476190476191,0.7027027027027027,271.0,68.0,83.0,188.0,21.0,47.0
CYP1A2,339,104,235,4.0,0.8088235294117647,0.8,0.5454545454545454,0.6486486486486487,271.0,68.0,82.0,189.0,22.0,46.0
CYP1A2,339,104,235,5.0,0.835820895522388,0.8571428571428571,0.5714285714285714,0.6857142857142857,272.0,67.0,83.0,189.0,21.0,46.0
CYP2B6,33,0,33,,,,,,,,,,,
CYP2C9,466,41,425,1.0,0.925531914893617,0.6,0.375,0.46153846153846156,372.0,94.0,33.0,339.0,8.0,86.0
CYP2C9,466,41,425,2.0,0.946236559139785,0.7,0.7777777777777778,0.7368421052631579,373.0,93.0,32.0,341.0,9.0,84.0
CYP2C9,466,41,425,3.0,0.956989247311828,1.0,0.5555555555555556,0.7142857142857143,373.0,93.0,32.0,341.0,9.0,84.0
CYP2C9,466,41,425,4.0,0.9139784946236559,0.8,0.36363636363636365,0.5,373.0,93.0,30.0,343.0,11.0,82.0
CYP2C9,466,41,425,5.0,0.978494623655914,1.0,0.5,0.6666666666666666,373.0,93.0,37.0,336.0,4.0,89.0
CYP2C19,165,14,151,1.0,0.9090909090909091,0.0,0.0,0.0,132.0,33.0,12.0,120.0,2.0,31.0
CYP2C19,165,14,151,2.0,0.8787878787878788,0.0,0.0,0.0,132.0,33.0,10.0,122.0,4.0,29.0
CYP2C19,165,14,151,3.0,0.9393939393939394,0.5,0.5,0.5,132.0,33.0,12.0,120.0,2.0,31.0
CYP2C19,165,14,151,4.0,0.9090909090909091,0.5,0.3333333333333333,0.4,132.0,33.0,11.0,121.0,3.0,30.0
CYP2C19,165,14,151,5.0,0.9090909090909091,0.0,0.0,0.0,132.0,33.0,11.0,121.0,3.0,30.0
CYP2D6,607,98,509,1.0,0.9098360655737705,0.9090909090909091,0.5,0.6451612903225806,485.0,122.0,78.0,407.0,20.0,102.0
CYP2D6,607,98,509,2.0,0.860655737704918,0.6363636363636364,0.35,0.45161290322580644,485.0,122.0,78.0,407.0,20.0,102.0
CYP2D6,607,98,509,3.0,0.8099173553719008,0.16666666666666666,0.05263157894736842,0.08,486.0,121.0,79.0,407.0,19.0,102.0
CYP2D6,607,98,509,4.0,0.8760330578512396,0.7058823529411765,0.5454545454545454,0.6153846153846154,486.0,121.0,76.0,410.0,22.0,99.0
CYP2D6,607,98,509,5.0,0.8842975206611571,0.6666666666666666,0.35294117647058826,0.46153846153846156,486.0,121.0,81.0,405.0,17.0,104.0
CYP3A4,1387,206,1181,1.0,0.9388489208633094,0.78125,0.7142857142857143,0.746268656716418,1109.0,278.0,171.0,938.0,35.0,243.0
CYP3A4,1387,206,1181,2.0,0.9136690647482014,0.8275862068965517,0.5581395348837209,0.6666666666666666,1109.0,278.0,163.0,946.0,43.0,235.0
CYP3A4,1387,206,1181,3.0,0.9205776173285198,0.8780487804878049,0.6792452830188679,0.7659574468085106,1110.0,277.0,153.0,957.0,53.0,224.0
CYP3A4,1387,206,1181,4.0,0.9386281588447654,0.9117647058823529,0.6888888888888889,0.7848101265822784,1110.0,277.0,161.0,949.0,45.0,232.0
CYP3A4,1387,206,1181,5.0,0.9133574007220217,0.625,0.5,0.5555555555555556,1110.0,277.0,176.0,934.0,30.0,247.0
AOX1,17,6,11,1.0,0.75,0.5,1.0,0.6666666666666666,13.0,4.0,5.0,8.0,1.0,3.0
AOX1,17,6,11,2.0,0.25,0.0,0.0,0.0,13.0,4.0,4.0,9.0,2.0,2.0
AOX1,17,6,11,3.0,0.6666666666666666,0.0,0.0,0.0,14.0,3.0,5.0,9.0,1.0,2.0
AOX1,17,6,11,4.0,0.6666666666666666,0.0,0.0,0.0,14.0,3.0,5.0,9.0,1.0,2.0
AOX1,17,6,11,5.0,0.3333333333333333,0.0,0.0,0.0,14.0,3.0,5.0,9.0,1.0,2.0
XDH,98,50,48,1.0,0.9,0.9,0.9,0.9,78.0,20.0,40.0,38.0,10.0,10.0
XDH,98,50,48,2.0,0.8,0.875,0.7,0.7777777777777778,78.0,20.0,40.0,38.0,10.0,10.0
XDH,98,50,48,3.0,0.75,1.0,0.6153846153846154,0.7619047619047619,78.0,20.0,37.0,41.0,13.0,7.0
XDH,98,50,48,4.0,0.7894736842105263,0.6,1.0,0.75,79.0,19.0,44.0,35.0,6.0,13.0
XDH,98,50,48,5.0,0.7894736842105263,0.7692307692307693,0.9090909090909091,0.8333333333333334,79.0,19.0,39.0,40.0,11.0,8.0
MAOA,1468,292,1176,1.0,0.8775510204081632,0.7777777777777778,0.5737704918032787,0.660377358490566,1174.0,294.0,231.0,943.0,61.0,233.0
MAOA,1468,292,1176,2.0,0.9013605442176871,0.8974358974358975,0.5833333333333334,0.7070707070707071,1174.0,294.0,232.0,942.0,60.0,234.0
MAOA,1468,292,1176,3.0,0.8843537414965986,0.7391304347826086,0.6071428571428571,0.6666666666666666,1174.0,294.0,236.0,938.0,56.0,238.0
MAOA,1468,292,1176,4.0,0.863481228668942,0.7058823529411765,0.4444444444444444,0.5454545454545454,1175.0,293.0,238.0,937.0,54.0,239.0
MAOA,1468,292,1176,5.0,0.8907849829351536,0.7543859649122807,0.7049180327868853,0.7288135593220338,1175.0,293.0,231.0,944.0,61.0,232.0
MAOB,1795,731,1064,1.0,0.8579387186629527,0.8153846153846154,0.7969924812030075,0.8060836501901141,1436.0,359.0,598.0,838.0,133.0,226.0
