target_protein,status,n_total_samples,n_train_samples,n_test_samples,rmse,mae,r2,target_uniprot,total_activities_count
CYP1A2,success,329,263.0,66.0,0.6232490242079789,0.48758908008657986,0.5150749106375585,P05177,329.0
CYP2B6,success,33,26.0,7.0,0.5531021385913159,0.4812142857142871,0.4425827262180084,P20813,33.0
CYP2C9,success,466,372.0,94.0,0.5322712263728604,0.4043858510638307,0.42499137496735895,P11712,466.0
CYP2C19,success,165,132.0,33.0,0.4384196021801007,0.2863242424242435,0.3959146531507476,P33261,165.0
CYP2D6,success,607,485.0,122.0,0.7423477819216375,0.5487012704918034,0.34057678446734196,P10635,607.0
CYP3A4,success,1387,1109.0,278.0,0.5117896422457883,0.3768725899280575,0.6360622555304838,P08684,1387.0
AOX1,success,13,10.0,3.0,0.4088285908136406,0.4051000000000006,0.608996841859013,Q06278,13.0
XDH,success,98,78.0,20.0,0.5416990663643417,0.372735,0.6098808408947393,P47989,98.0
MAOA,success,1130,904.0,226.0,0.7419247023421842,0.5133186651917407,0.6161011297291354,P21397,1130.0
MAOB,success,1519,1215.0,304.0,0.7883859105863379,0.5922871734022558,0.6504635400454974,P27338,1519.0
ALDH1A1,success,150,120.0,30.0,0.8693709154708745,0.7236600000000005,0.18198400394249403,P00352,150.0
ADH1A,insufficient_data,0,,,,,,,
HSD11B1,success,2046,1636.0,410.0,0.6405203154502395,0.46835839401858315,0.6579472274860525,P28845,2046.0
AKR7A3,insufficient_data,0,,,,,,,
FMO1,insufficient_data,0,,,,,,,
AHR,success,25,20.0,5.0,1.792478997366495,1.3885199999999986,-0.04482292731657256,P35869,25.0
NR1I3,success,59,47.0,12.0,0.7766763128871641,0.6425500000000005,0.4943864610248061,Q14994,59.0
NR1I2,success,344,275.0,69.0,0.6704449660216478,0.5391768115942033,0.4740978135883783,O75469,344.0
SULT1A1,insufficient_data,6,,,,,,,
GSTA1,insufficient_data,6,,,,,,,
OXA1L,insufficient_data,0,,,,,,,
ORM1,insufficient_data,0,,,,,,,
KCNH2,success,4492,3593.0,899.0,0.6121023866770883,0.4448978251479086,0.5464445193625174,Q12809,4492.0
SCN5A,success,329,263.0,66.0,0.625937194545229,0.43283636363636374,0.34966652794262554,Q14524,329.0
CACNB1,insufficient_data,0,,,,,,,
CAV1,insufficient_data,0,,,,,,,
HTR2B,success,1180,944.0,236.0,0.6888516787661788,0.5177898305084742,0.4661594594962498,P41595,1180.0
SLC6A4,success,2958,2366.0,592.0,0.6553475079209451,0.47868526846042464,0.6734634438278513,P31645,2958.0
SLC6A4,success,2958,2366.0,592.0,0.6553475079209451,0.47868526846042453,0.6734634438278513,P31645,2958.0
DIDO1,insufficient_data,0,,,,,,,
SLC6A3,success,1646,1316.0,330.0,0.6375084724208472,0.49096198160173127,0.6514565422915395,Q01959,1646.0
SLC6A2,success,2021,1616.0,405.0,0.6949529223747621,0.5402887860082305,0.5741876113650247,P23975,2021.0
NAT8,insufficient_data,0,,,,,,,
SLC6A2,success,2021,1616.0,405.0,0.6949529223747621,0.5402887860082305,0.5741876113650247,P23975,2021.0
ADRA1A,success,895,716.0,179.0,0.7368477229872591,0.5486541899441345,0.5557247677876455,P35348,895.0
ADRA2A,success,526,420.0,106.0,0.9121621916292013,0.6149784591194968,0.5105256817429771,P08913,526.0
ADRB1,success,614,491.0,123.0,0.7844642085128353,0.547857317073171,0.5239091254467668,P08588,614.0
ADRB2,success,860,688.0,172.0,0.8485002463449465,0.5898427334390414,0.6883976075487073,P07550,860.0
CNRIP1,insufficient_data,0,,,,,,,
CNR2,success,4295,3436.0,859.0,0.7409433138236876,0.5565889288486061,0.5876624890754854,P34972,4295.0
CHRM1,success,1103,882.0,221.0,0.8693877956261913,0.637707580621993,0.520811357501791,P11229,1103.0
CHRM2,success,721,576.0,145.0,0.8030502068603411,0.6332978617952928,0.6054482733433807,P08172,721.0
CHRM3,success,1209,967.0,242.0,0.8462412153529715,0.6507046116509755,0.6950909879283356,P20309,1209.0
CHRNA10,insufficient_data,0,,,,,,,
CHRNA9,insufficient_data,0,,,,,,,
CHRNA7,success,595,476.0,119.0,0.8091287306177334,0.6042923891071582,0.5364920836063418,P36544,595.0
CHRNA3,insufficient_data,3,,,,,,,
CHRNA5,insufficient_data,0,,,,,,,
SMPDL3A,insufficient_data,0,,,,,,,
GABPA,insufficient_data,0,,,,,,,
HRH1,success,945,756.0,189.0,0.6918407411472028,0.4965227513227511,0.6782315601533465,P35367,945.0
KCNH2,success,4492,3593.0,899.0,0.6121023866770883,0.44489782514790854,0.5464445193625174,Q12809,4492.0
SLCO1B1,success,16,12.0,4.0,0.5456302273518244,0.4541999999999997,0.28291244222980727,Q9Y6L6,16.0
SLCO2B3,success,15,12.0,3.0,0.537036392311234,0.486933333333333,-9.292120459952374,Q9NPD5,15.0
SLCO2B1,success,33,26.0,7.0,0.27171349932288186,0.24411428571428573,0.48616796488835823,O94956,33.0
