target_protein,protein_type,status,n_target_samples,n_target_train_samples,n_target_test_samples,n_other_proteins_samples,n_pooled_train_samples,n_same_type_proteins,rmse,mae,r2,target_uniprot,same_type_proteins
CYP1A2,CYP,success,329,263.0,66.0,2642.0,2905.0,6,0.6544295680702061,0.506525553697145,0.4653405265178523,P05177,"['CYP2B6', 'CYP2C9', 'CYP2C19', 'CYP2D6', 'CYP3A4', 'CP2BA']"
CYP2B6,CYP,success,33,26.0,7.0,2931.0,2957.0,6,0.7936460386761065,0.6503234863945574,-0.14768697617180893,P20813,"['CYP1A2', 'CYP2C9', 'CYP2C19', 'CYP2D6', 'CYP3A4', 'CP2BA']"
CYP2C9,CYP,success,466,372.0,94.0,2506.0,2878.0,6,0.6313918537447759,0.42960944448282196,0.19089231079986502,P11712,"['CYP1A2', 'CYP2B6', 'CYP2C19', 'CYP2D6', 'CYP3A4', 'CP2BA']"
CYP2C19,CYP,success,165,132.0,33.0,2807.0,2939.0,6,0.43194437763555976,0.3380911992938729,0.413626918777543,P33261,"['CYP1A2', 'CYP2B6', 'CYP2C9', 'CYP2D6', 'CYP3A4', 'CP2BA']"
CYP2D6,CYP,success,607,485.0,122.0,2363.0,2848.0,6,0.8313517417150992,0.6227360102401622,0.17297426434111474,P10635,"['CYP1A2', 'CYP2B6', 'CYP2C9', 'CYP2C19', 'CYP3A4', 'CP2BA']"
CYP3A4,CYP,success,1387,1109.0,278.0,1584.0,2693.0,6,0.5981988526791728,0.4343746939880665,0.5027952532490061,P08684,"['CYP1A2', 'CYP2B6', 'CYP2C9', 'CYP2C19', 'CYP2D6', 'CP2BA']"
AOX1,AOX,insufficient_training_data,13,,,,,1,,,,,
XDH,XDH,insufficient_training_data,98,,,,,0,,,,,
MAOA,MAO,success,1130,904.0,226.0,1519.0,2423.0,1,1.1804564637190225,0.8869375777369145,0.028154739781038107,P21397,['MAOB']
MAOB,MAO,success,1519,1215.0,304.0,1130.0,2345.0,1,1.108589719124996,0.8264646945607391,0.3088752143538924,P27338,['MAOA']
