target_protein,r2_pooled,rmse_pooled,mae_pooled,protein_type,n_pooled_train_samples,n_target_test_samples,r2_single,rmse_single,mae_single,n_total_samples,n_test_samples,r2_difference,rmse_difference,mae_difference
CYP1A2,0.4653405265178523,0.6544295680702061,0.506525553697145,CYP,2905.0,66.0,0.5150749106375576,0.6232490242079795,0.48758908008658025,329,66,-0.04973438411970532,0.031180543862226684,0.018936473610564775
CYP2B6,-0.14768697617180893,0.7936460386761065,0.6503234863945574,CYP,2957.0,7.0,0.44258272621800965,0.5531021385913153,0.4812142857142866,33,7,-0.5902697023898186,0.2405439000847912,0.1691092006802708
CYP2C9,0.19089231079986502,0.6313918537447759,0.42960944448282196,CYP,2878.0,94.0,0.42499137496735884,0.5322712263728604,0.40438585106383057,466,94,-0.23409906416749382,0.09912062737191552,0.025223593418991386
CYP2C19,0.413626918777543,0.43194437763555976,0.3380911992938729,CYP,2939.0,33.0,0.3959146531507469,0.43841960218010095,0.2863242424242437,165,33,0.017712265626796064,-0.0064752245445411916,0.05176695686962918
CYP2D6,0.17297426434111474,0.8313517417150992,0.6227360102401622,CYP,2848.0,122.0,0.34057678446734196,0.7423477819216375,0.5487012704918033,607,122,-0.16760252012622723,0.08900395979346165,0.07403473974835895
CYP3A4,0.5027952532490061,0.5981988526791728,0.4343746939880665,CYP,2693.0,278.0,0.6360622555304839,0.5117896422457882,0.3768725899280574,1387,278,-0.1332670022814778,0.08640921043338468,0.05750210406000911
MAOA,0.028154739781038107,1.1804564637190225,0.8869375777369145,MAO,2423.0,226.0,0.6161011297291354,0.7419247023421842,0.5133186651917407,1130,226,-0.5879463899480973,0.43853176137683825,0.37361891254517376
MAOB,0.3088752143538924,1.108589719124996,0.8264646945607391,MAO,2345.0,304.0,0.6504635400454976,0.7883859105863377,0.5922871734022556,1519,304,-0.34158832569160513,0.3202038085386584,0.23417752115848356
NR1I3,0.2673371303775376,0.934937983683053,0.7646666666666659,NR,391.0,12.0,0.4943864610248069,0.7766763128871635,0.64255,59,12,-0.2270493306472693,0.1582616707958895,0.12211666666666599
NR1I2,0.4823445731472388,0.6651675156778508,0.5255579710144929,NR,334.0,69.0,0.474097813588378,0.670444966021648,0.5391768115942032,344,69,0.008246759558860783,-0.00527745034379723,-0.0136188405797103
SCN5A,0.3761485256020072,0.6130604621996233,0.4273742171717171,SCN,327.0,66.0,0.3496665279426254,0.625937194545229,0.4328363636363638,329,66,0.02648199765938175,-0.012876732345605713,-0.005462146464646711
