target_protein,status,n_total_samples,n_train_samples,n_test_samples,rmse,mae,r2,target_uniprot
CYP1A2,success,329,263,66,0.6232490242079795,0.48758908008658025,0.5150749106375576,P05177
CYP2B6,success,33,26,7,0.5531021385913153,0.4812142857142866,0.44258272621800965,P20813
CYP2C9,success,466,372,94,0.5322712263728604,0.40438585106383057,0.42499137496735884,P11712
CYP2C19,success,165,132,33,0.43841960218010095,0.2863242424242437,0.3959146531507469,P33261
CYP2D6,success,607,485,122,0.7423477819216375,0.5487012704918033,0.34057678446734196,P10635
CYP3A4,success,1387,1109,278,0.5117896422457882,0.3768725899280574,0.6360622555304839,P08684
AOX1,success,13,10,3,0.40882859081364004,0.4051,0.6089968418590139,Q06278
XDH,success,98,78,20,0.541699066364342,0.37273500000000004,0.6098808408947389,P47989
MAOA,success,1130,904,226,0.7419247023421842,0.5133186651917407,0.6161011297291354,P21397
MAOB,success,1519,1215,304,0.7883859105863377,0.5922871734022556,0.6504635400454976,P27338
ALDH1A1,success,150,120,30,0.8693709154708744,0.7236600000000003,0.18198400394249414,P00352
HSD11B1,success,2046,1636,410,0.6405203154502395,0.4683583940185832,0.6579472274860525,P28845
AHR,success,25,20,5,1.792478997366495,1.388519999999999,-0.04482292731657256,P35869
NR1I3,success,59,47,12,0.7766763128871635,0.64255,0.4943864610248069,Q14994
NR1I2,success,344,275,69,0.670444966021648,0.5391768115942032,0.474097813588378,O75469
KCNH2,success,4492,3593,899,0.6121023866770883,0.44489782514790854,0.5464445193625174,Q12809
SCN5A,success,329,263,66,0.625937194545229,0.4328363636363638,0.3496665279426254,Q14524
HTR2B,success,1180,944,236,0.6888516787661787,0.5177898305084742,0.4661594594962498,P41595
SLC6A4,success,2958,2366,592,0.655347507920945,0.47868526846042464,0.6734634438278513,P31645
SLC6A4,success,2958,2366,592,0.6553475079209451,0.4786852684604247,0.6734634438278513,P31645
SLC6A3,success,1646,1316,330,0.637508472420847,0.49096198160173116,0.6514565422915397,Q01959
SLC6A2,success,2021,1616,405,0.694952922374762,0.5402887860082305,0.5741876113650248,P23975
SLC6A2,success,2021,1616,405,0.6949529223747621,0.5402887860082305,0.5741876113650246,P23975
ADRA1A,success,895,716,179,0.7368477229872591,0.5486541899441344,0.5557247677876455,P35348
ADRA2A,success,526,420,106,0.9121621916292014,0.6149784591194971,0.5105256817429771,P08913
ADRB1,success,614,491,123,0.7844642085128353,0.5478573170731711,0.5239091254467669,P08588
ADRB2,success,860,688,172,0.8485002463449466,0.5898427334390416,0.6883976075487072,P07550
CNR2,success,4295,3436,859,0.7409433138236877,0.5565889288486061,0.5876624890754852,P34972
CHRM1,success,1103,882,221,0.8693877956261914,0.637707580621993,0.5208113575017908,P11229
CHRM2,success,721,576,145,0.8030502068603411,0.6332978617952928,0.6054482733433807,P08172
CHRM3,success,1209,967,242,0.8462412153529716,0.6507046116509755,0.6950909879283355,P20309
CHRNA7,success,595,476,119,0.8091287306177334,0.604292389107158,0.5364920836063418,P36544
HRH1,success,945,756,189,0.6918407411472027,0.4965227513227511,0.6782315601533466,P35367
KCNH2,success,4492,3593,899,0.6121023866770883,0.44489782514790854,0.5464445193625174,Q12809
SLCO1B1,success,16,12,4,0.5456302273518243,0.45420000000000016,0.2829124422298075,Q9Y6L6
SLCO2B3,success,15,12,3,0.5370363923112337,0.4869333333333324,-9.292120459952363,Q9NPD5
SLCO2B1,success,33,26,7,0.2717134993228818,0.24411428571428573,0.48616796488835834,O94956
