protein_name,organism,uniprot_id,status,n_samples,regression_r2,regression_rmse,classification_accuracy,classification_f1,classification_auc,reason
CYP1A2,human,P05177,completed,329,0.5098278200242536,0.7075008073589378,0.8632218844984803,0.6341463414634146,0.882533895408454,
CYP1A2,mouse,P00186,skipped,1,,,,,,insufficient_data
CYP1A2,rat,P04799,skipped,9,,,,,,insufficient_data
CYP2B6,human,P20813,completed,33,0.39910665533627365,0.5481673815301421,1.0,0.0,,
CYP2C9,human,P11712,completed,466,0.5350646841787736,0.501371314600868,0.9570815450643777,0.4117647058823529,0.947172619047619,
CYP2C19,human,P33261,completed,165,0.3507000123460926,0.5733021275890906,0.9818181818181818,0.0,0.9074074074074074,
CYP2D6,human,P10635,completed,607,0.4139835110403842,0.6594266524968193,0.9093904448105437,0.40860215053763443,0.7701624925462134,
CYP3A4,human,P08684,completed,1387,0.5724766713622402,0.5475363036396124,0.9632299927901946,0.6330935251798561,0.8867308855111445,
AOX1,human,Q06278,skipped,13,,,,,,insufficient_data
AOX1,mouse,O54754,skipped,0,,,,,,insufficient_data
AOX1,rat,Q9Z0U5,skipped,4,,,,,,insufficient_data
XDH,human,P47989,completed,98,0.7361407207070001,0.3842262033447752,0.8673469387755102,0.7346938775510204,0.927536231884058,
XDH,mouse,Q00519,skipped,0,,,,,,insufficient_data
XDH,rat,P22985,skipped,0,,,,,,insufficient_data
MAOA,human,P21397,completed,1130,0.5601476630914581,0.7933928030922464,0.9247787610619469,0.6320346320346321,0.8966766169154229,
MAOA,mouse,Q64133,skipped,2,,,,,,insufficient_data
MAOA,rat,P21396,completed,336,0.5880758772331747,0.7376701732215365,0.9285714285714286,0.7818181818181819,0.9572066326530613,
MAOB,human,P27338,completed,1519,0.5861619873922195,0.8313380421513233,0.8406846609611587,0.7430997876857749,0.9011152564732772,
MAOB,mouse,Q8BW75,skipped,14,,,,,,insufficient_data
MAOB,rat,P19643,completed,263,0.4852708416429511,0.9047492303904919,0.779467680608365,0.6588235294117647,0.8552937754508434,
ALDH1A1,human,P00352,completed,150,0.49011614441006834,0.6779967299235543,0.8333333333333334,0.6987951807228916,0.8891545316235601,
ALDH1A1,mouse,P24549,skipped,0,,,,,,insufficient_data
ALDH1A1,rat,P51647,skipped,0,,,,,,insufficient_data
ADH1A,human,P07327,skipped,0,,,,,,insufficient_data
HSD11B1,human,P28845,completed,2046,0.6295141189754545,0.6323397368834768,0.8250244379276638,0.858609794628752,0.9025630303524805,
HSD11B1,mouse,P50172,completed,612,0.41157061243201676,0.7225636927479877,0.7549019607843137,0.7838616714697406,0.8178074801545796,
HSD11B1,rat,P16232,completed,67,0.6706549570955616,0.6292566231543173,0.8955223880597015,0.9263157894736842,0.9100790513833992,
AKR7A3,human,O95154,skipped,0,,,,,,insufficient_data
AKR7A3,rat,P38918,skipped,0,,,,,,insufficient_data
FMO1,human,Q01740,skipped,0,,,,,,insufficient_data
FMO1,mouse,P50285,skipped,0,,,,,,insufficient_data
FMO1,rat,P36365,skipped,0,,,,,,insufficient_data
AHR,human,P35869,skipped,25,,,,,,insufficient_data
AHR,mouse,P30561,skipped,4,,,,,,insufficient_data
AHR,rat,P41738,skipped,2,,,,,,insufficient_data
NR1I3,human,Q14994,completed,59,0.5618783231746353,0.6777989225776745,0.8813559322033898,0.7878787878787878,0.9425770308123249,
NR1I3,mouse,O35627,skipped,0,,,,,,insufficient_data
