action_type,mechanism_of_action,molecule_chembl_id,target_chembl_id,parent_molecule_chembl_id,molecule_chembl_id_molecule_table,atc_classifications,pref_name_molecule,canonical_smiles,standard_inchi,standard_inchi_key,parent_chembl_id,oral,parenteral,organism,target_type,pref_name_target,accession,component_id,protein_classifications,level_1,level_2,level_3,level_4,level_5,InChi_nostereo
AGONIST,Adenosine A2a receptor agonist,CHEMBL3989695,CHEMBL251,CHEMBL317052,CHEMBL317052,[],REGADENOSON ANHYDROUS,CNC(=O)c1cnn(-c2nc(N)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)c1,"InChI=1S/C15H18N8O5/c1-17-13(27)6-2-19-23(3-6)15-20-11(16)8-12(21-15)22(5-18-8)14-10(26)9(25)7(4-24)28-14/h2-3,5,7,9-10,14,24-26H,4H2,1H3,(H,17,27)(H2,16,20,21)/t7-,9-,10-,14-/m1/s1",LZPZPHGJDAGEJZ-AKAIJSEGSA-N,CHEMBL317052,False,True,Homo sapiens,SINGLE PROTEIN,Adenosine A2a receptor,P29274,[326],[563],['Membrane receptor'],['Family A G protein-coupled receptor'],['Small molecule receptor (family A GPCR)'],['Nucleotide-like receptor (family A GPCR)'],['Adenosine receptor'],"InChI=1S/C15H18N8O5/c1-17-13(27)6-2-19-23(3-6)15-20-11(16)8-12(21-15)22(5-18-8)14-10(26)9(25)7(4-24)28-14/h2-3,5,7,9-10,14,24-26H,4H2,1H3,(H,17,27)(H2,16,20,21)"
AGONIST,Androgen Receptor agonist,CHEMBL1200436,CHEMBL1871,CHEMBL1200436,CHEMBL1200436,['A14AA08'],OXANDROLONE,C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,"InChI=1S/C19H30O3/c1-17-11-22-16(20)10-12(17)4-5-13-14(17)6-8-18(2)15(13)7-9-19(18,3)21/h12-15,21H,4-11H2,1-3H3/t12-,13+,14-,15-,17-,18-,19-/m0/s1",QSLJIVKCVHQPLV-PEMPUTJUSA-N,CHEMBL1200436,True,False,Homo sapiens,SINGLE PROTEIN,Androgen Receptor,P10275,[187],[378],['Transcription factor'],['Nuclear receptor'],['Nuclear hormone receptor subfamily 3'],['Nuclear hormone receptor subfamily 3 group C'],['Nuclear hormone receptor subfamily 3 group C member 4'],"InChI=1S/C19H30O3/c1-17-11-22-16(20)10-12(17)4-5-13-14(17)6-8-18(2)15(13)7-9-19(18,3)21/h12-15,21H,4-11H2,1-3H3"
AGONIST,Androgen Receptor agonist,CHEMBL1395,CHEMBL1871,CHEMBL1395,CHEMBL1395,"['G03BA02', 'G03EK01']",METHYLTESTOSTERONE,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,"InChI=1S/C20H30O2/c1-18-9-6-14(21)12-13(18)4-5-15-16(18)7-10-19(2)17(15)8-11-20(19,3)22/h12,15-17,22H,4-11H2,1-3H3/t15-,16+,17+,18+,19+,20+/m1/s1",GCKMFJBGXUYNAG-HLXURNFRSA-N,CHEMBL1395,True,False,Homo sapiens,SINGLE PROTEIN,Androgen Receptor,P10275,[187],[378],['Transcription factor'],['Nuclear receptor'],['Nuclear hormone receptor subfamily 3'],['Nuclear hormone receptor subfamily 3 group C'],['Nuclear hormone receptor subfamily 3 group C member 4'],"InChI=1S/C20H30O2/c1-18-9-6-14(21)12-13(18)4-5-15-16(18)7-10-19(2)17(15)8-11-20(19,3)22/h12,15-17,22H,4-11H2,1-3H3"
AGONIST,Androgen Receptor agonist,CHEMBL1479,CHEMBL1871,CHEMBL1479,CHEMBL1479,['G03XA01'],DANAZOL,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,"InChI=1S/C22H27NO2/c1-4-22(24)10-8-18-16-6-5-15-11-19-14(13-23-25-19)12-20(15,2)17(16)7-9-21(18,22)3/h1,11,13,16-18,24H,5-10,12H2,2-3H3/t16-,17+,18+,20+,21+,22+/m1/s1",POZRVZJJTULAOH-LHZXLZLDSA-N,CHEMBL1479,True,False,Homo sapiens,SINGLE PROTEIN,Androgen Receptor,P10275,[187],[378],['Transcription factor'],['Nuclear receptor'],['Nuclear hormone receptor subfamily 3'],['Nuclear hormone receptor subfamily 3 group C'],['Nuclear hormone receptor subfamily 3 group C member 4'],"InChI=1S/C22H27NO2/c1-4-22(24)10-8-18-16-6-5-15-11-19-14(13-23-25-19)12-20(15,2)17(16)7-9-21(18,22)3/h1,11,13,16-18,24H,5-10,12H2,2-3H3"
AGONIST,Androgen Receptor agonist,CHEMBL386630,CHEMBL1871,CHEMBL386630,CHEMBL386630,['G03BA03'],TESTOSTERONE,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,"InChI=1S/C19H28O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h11,14-17,21H,3-10H2,1-2H3/t14-,15-,16-,17-,18-,19-/m0/s1",MUMGGOZAMZWBJJ-DYKIIFRCSA-N,CHEMBL386630,False,True,Homo sapiens,SINGLE PROTEIN,Androgen Receptor,P10275,[187],[378],['Transcription factor'],['Nuclear receptor'],['Nuclear hormone receptor subfamily 3'],['Nuclear hormone receptor subfamily 3 group C'],['Nuclear hormone receptor subfamily 3 group C member 4'],"InChI=1S/C19H28O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h11,14-17,21H,3-10H2,1-2H3"
AGONIST,Beta-1 adrenergic receptor agonist,CHEMBL1200418,CHEMBL213,CHEMBL926,CHEMBL926,['C01CA07'],DOBUTAMINE,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1,"InChI=1S/C18H23NO3/c1-13(2-3-14-4-7-16(20)8-5-14)19-11-10-15-6-9-17(21)18(22)12-15/h4-9,12-13,19-22H,2-3,10-11H2,1H3",JRWZLRBJNMZMFE-UHFFFAOYSA-N,CHEMBL926,False,True,Homo sapiens,SINGLE PROTEIN,Beta-1 adrenergic receptor,P08588,[185],[544],['Membrane receptor'],['Family A G protein-coupled receptor'],['Small molecule receptor (family A GPCR)'],['Monoamine receptor'],['Adrenergic receptor'],"InChI=1S/C18H23NO3/c1-13(2-3-14-4-7-16(20)8-5-14)19-11-10-15-6-9-17(21)18(22)12-15/h4-9,12-13,19-22H,2-3,10-11H2,1H3"
AGONIST,Beta-2 adrenergic receptor agonist,CHEMBL1200418,CHEMBL210,CHEMBL926,CHEMBL926,['C01CA07'],DOBUTAMINE,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1,"InChI=1S/C18H23NO3/c1-13(2-3-14-4-7-16(20)8-5-14)19-11-10-15-6-9-17(21)18(22)12-15/h4-9,12-13,19-22H,2-3,10-11H2,1H3",JRWZLRBJNMZMFE-UHFFFAOYSA-N,CHEMBL926,False,True,Homo sapiens,SINGLE PROTEIN,Beta-2 adrenergic receptor,P07550,[213],[544],['Membrane receptor'],['Family A G protein-coupled receptor'],['Small molecule receptor (family A GPCR)'],['Monoamine receptor'],['Adrenergic receptor'],"InChI=1S/C18H23NO3/c1-13(2-3-14-4-7-16(20)8-5-14)19-11-10-15-6-9-17(21)18(22)12-15/h4-9,12-13,19-22H,2-3,10-11H2,1H3"
AGONIST,Beta-2 adrenergic receptor agonist,CHEMBL1367605,CHEMBL210,CHEMBL83063,CHEMBL83063,['G02CA01'],RITODRINE,CC(NCCc1ccc(O)cc1)C(O)c1ccc(O)cc1,"InChI=1S/C17H21NO3/c1-12(17(21)14-4-8-16(20)9-5-14)18-11-10-13-2-6-15(19)7-3-13/h2-9,12,17-21H,10-11H2,1H3",IOVGROKTTNBUGK-UHFFFAOYSA-N,CHEMBL83063,True,True,Homo sapiens,SINGLE PROTEIN,Beta-2 adrenergic receptor,P07550,[213],[544],['Membrane receptor'],['Family A G protein-coupled receptor'],['Small molecule receptor (family A GPCR)'],['Monoamine receptor'],['Adrenergic receptor'],"InChI=1S/C17H21NO3/c1-12(17(21)14-4-8-16(20)9-5-14)18-11-10-13-2-6-15(19)7-3-13/h2-9,12,17-21H,10-11H2,1H3"
AGONIST,Beta-2 adrenergic receptor agonist,CHEMBL49080,CHEMBL210,CHEMBL49080,CHEMBL49080,"['R03AC14', 'R03CC13']",CLENBUTEROL,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,"InChI=1S/C12H18Cl2N2O/c1-12(2,3)16-6-10(17)7-4-8(13)11(15)9(14)5-7/h4-5,10,16-17H,6,15H2,1-3H3",STJMRWALKKWQGH-UHFFFAOYSA-N,CHEMBL49080,True,False,Homo sapiens,SINGLE PROTEIN,Beta-2 adrenergic receptor,P07550,[213],[544],['Membrane receptor'],['Family A G protein-coupled receptor'],['Small molecule receptor (family A GPCR)'],['Monoamine receptor'],['Adrenergic receptor'],"InChI=1S/C12H18Cl2N2O/c1-12(2,3)16-6-10(17)7-4-8(13)11(15)9(14)5-7/h4-5,10,16-17H,6,15H2,1-3H3"
AGONIST,Beta-2 adrenergic receptor agonist,CHEMBL714,CHEMBL210,CHEMBL714,CHEMBL714,"['R03AC02', 'R03CC02']",ALBUTEROL,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,"InChI=1S/C13H21NO3/c1-13(2,3)14-7-12(17)9-4-5-11(16)10(6-9)8-15/h4-6,12,14-17H,7-8H2,1-3H3",NDAUXUAQIAJITI-UHFFFAOYSA-N,CHEMBL714,True,False,Homo sapiens,SINGLE PROTEIN,Beta-2 adrenergic receptor,P07550,[213],[544],['Membrane receptor'],['Family A G protein-coupled receptor'],['Small molecule receptor (family A GPCR)'],['Monoamine receptor'],['Adrenergic receptor'],"InChI=1S/C13H21NO3/c1-13(2,3)14-7-12(17)9-4-5-11(16)10(6-9)8-15/h4-6,12,14-17H,7-8H2,1-3H3"
