organism,avoidome_name,avoidome_uniprot_id,organism_uniprot_id,protein_name
human,CYP1A2,P05177,P05177,CYP1A2
human,CYP2B6,P20813,P20813,CYP2B6
human,CYP2C9,P11712,P11712,CYP2C9
human,CYP2C19,P33261,P33261,CYP2C19
human,CYP2D6,P10635,P10635,CYP2D6
human,CYP3A4,P08684,P08684,CYP3A4
human,AOX1,Q06278,Q06278,Aldehyde oxidase
human,XDH,P47989,P47989,Xanthine oxidase
human,MAOA,P21397,P21397,Monoamine oxidase A
human,MAOB,P27338,P27338,Monoamine oxidase B
human,ALDH1A1,P00352,P00352,ALDH1A1
human,ADH1A,P07327,P07327,Alcohol dehydrogenase 1A
human,HSD11B1,P28845,P28845,HSD11B1
human,AKR7A3,O95154,O95154,Aldehyde reductase
human,FMO1,Q01740,Q01740,FMO1
human,AHR,P35869,P35869,AHR
human,NR1I3,Q14994,Q14994,CAR
human,NR1I2,O75469,O75469,PXR
human,SULT1A1,P50225,P50225,SULT1A1
human,GSTA1,P08263,P08263,GSTA1
human,OXA1L,Q15070,Q15070,HSA
human,ORM1,P02763,P02763,Alpha1-acid glycoprotein
human,KCNH2,Q12809,Q12809,HERG (Kv11.1)
human,SCN5A,Q14524,Q14524,NaV1.5
human,CACNB1,Q02641,Q02641,Calcium L-channel
human,CAV1,Q03135,Q03135,CaV 1.2
human,HTR2B,P41595,P41595,HTR2B
human,SLC6A4,P31645,P31645,SERT
human,DIDO1,Q9BTC0,Q9BTC0,DAT1
human,SLC6A3,Q01959,Q01959,SLC6A3
human,SLC6A2,P23975,P23975,NET noradrenaline transporter
human,NAT8,Q9UHE5,Q9UHE5,NAT
human,ADRA1A,P35348,P25100,Adrenergic receptor A1
human,ADRA2A,P08913,P08913,Adrenergic receptor A2
human,ADRB1,P08588,P08588,Adrenergic receptor B1
human,ADRB2,P07550,P07550,Adrenergic receptor B2
human,CNRIP1,Q96F85,Q96F85,Cannabinoid receptor CB1
human,CNR2,P34972,P34972,Cannabinoid receptor CB2
human,CHRM1,P11229,P11229,Muscarinic receptor M1
human,CHRM2,P08172,P08172,Muscarinic receptor M2
human,CHRM3,P20309,P20309,Muscarinic receptor M3
human,CHRNA10,Q9GZZ6,Q9GZZ6,nicotinic nAChR
human,CHRNA9,Q9UGM1,Q9UGM1,nicotinic nAChR
human,CHRNA7,P36544,P36544,nicotinic nAChR
human,CHRNA3,P32297,P32297,nicotinic nAChR
human,CHRNA5,P30532,P30532,nicotinic nAChR
human,SMPDL3A,Q92484,Q92484,Phosphodiesterase 3A
human,GABPA,Q06546,Q06546,GABA alpha 1
human,HRH1,P35367,P35367,Histamine H1
human,SLCO1B1,Q9Y6L6,Q9Y6L6,OATP1B1
human,SLCO2B1,O94956,O94956,OATP2B1
mouse,CYP1A2,P05177,P00186,CYP1A2
mouse,AOX1,Q06278,O54754,Aldehyde oxidase
mouse,XDH,P47989,Q00519,Xanthine oxidase
mouse,MAOA,P21397,Q64133,Monoamine oxidase A
mouse,MAOB,P27338,Q8BW75,Monoamine oxidase B
mouse,ALDH1A1,P00352,P24549,ALDH1A1
mouse,HSD11B1,P28845,P50172,HSD11B1
mouse,FMO1,Q01740,P50285,FMO1
mouse,AHR,P35869,P30561,AHR
mouse,NR1I3,Q14994,O35627,CAR
mouse,NR1I2,O75469,O54915,PXR
mouse,SULT1A1,P50225,P52840,SULT1A1
mouse,GSTA1,P08263,P13745,GSTA1
mouse,OXA1L,Q15070,Q8BGA9,HSA
mouse,ORM1,P02763,Q60590,Alpha1-acid glycoprotein
mouse,KCNH2,Q12809,O35219,HERG (Kv11.1)
mouse,SCN5A,Q14524,Q9JJV9,NaV1.5
mouse,CACNB1,Q02641,Q8R3Z5,Calcium L-channel
mouse,CAV1,Q03135,P49817,CaV 1.2
mouse,HTR2B,P41595,Q02152,HTR2B
mouse,SLC6A4,P31645,Q60857,SERT
mouse,DIDO1,Q9BTC0,Q8C9B9,DAT1
mouse,SLC6A3,Q01959,Q61327,SLC6A3
mouse,SLC6A2,P23975,O55192,NET noradrenaline transporter
mouse,NAT8,Q9UHE5,Q9JIY7,NAT
mouse,ADRA1A,P35348,P97718,Adrenergic receptor A1
mouse,ADRA2A,P08913,Q01338,Adrenergic receptor A2
mouse,ADRB1,P08588,P34971,Adrenergic receptor B1
mouse,ADRB2,P07550,P18762,Adrenergic receptor B2
mouse,CNRIP1,Q96F85,Q5M8N0,Cannabinoid receptor CB1
mouse,CNR2,P34972,P47936,Cannabinoid receptor CB2
mouse,CHRM1,P11229,P12657,Muscarinic receptor M1
mouse,CHRM2,P08172,Q9ERZ4,Muscarinic receptor M2
mouse,CHRM3,P20309,Q9ERZ3,Muscarinic receptor M3
mouse,CHRNA10,Q9GZZ6,B2RX82,nicotinic nAChR
mouse,CHRNA9,Q9UGM1,G3X8Z7,nicotinic nAChR
mouse,CHRNA7,P36544,P49582,nicotinic nAChR
mouse,CHRNA3,P32297,Q8R4G9,nicotinic nAChR
mouse,CHRNA5,P30532,Q2MKA5,nicotinic nAChR
mouse,SMPDL3A,Q92484,P70158,Phosphodiesterase 3A
mouse,GABPA,Q06546,Q00422,GABA alpha 1
mouse,HRH1,P35367,P70174,Histamine H1
mouse,SLCO2B1,O94956,Q8BXB6,OATP2B1
