name2_entry,human_uniprot_id,mouse_uniprot_id,rat_uniprot_id,human_found_in_papyrus,mouse_found_in_papyrus,rat_found_in_papyrus
CYP1A2,P05177,P00186,P04799,True,True,True
CYP2B6,P20813,,,True,,
CYP2C9,P11712,,,True,,
CYP2C19,P33261,,,True,,
CYP2D6,P10635,,,True,,
CYP3A4,P08684,,,True,,
AOX1,Q06278,O54754,Q9Z0U5,True,False,True
XDH,P47989,Q00519,P22985,True,False,False
MAOA,P21397,Q64133,P21396,True,True,True
MAOB,P27338,Q8BW75,P19643,True,True,True
ALDH1A1,P00352,P24549,P51647,True,False,False
ADH1A,P07327,,,False,,
HSD11B1,P28845,P50172,P16232,True,True,True
AKR7A3,O95154,,P38918,False,,False
FMO1,Q01740,P50285,P36365,False,False,False
AHR,P35869,P30561,P41738,True,True,True
NR1I3,Q14994,O35627,Q9QUS1,True,False,False
NR1I2,O75469,O54915,Q9R1A7,True,False,False
SULT1A1,P50225,P52840,P17988,True,False,False
GSTA1,P08263,P13745,P00502,True,False,False
OXA1L,Q15070,Q8BGA9,A0A8I6AQW6,False,False,False
ORM1,P02763,Q60590,P02764,False,False,False
KCNH2,Q12809,O35219,O08962,True,False,False
SCN5A,Q14524,Q9JJV9,P15389,True,False,False
CACNB1,Q02641,Q8R3Z5,P54283,False,False,False
CAV1,Q03135,P49817,P41350,False,False,False
HTR2B,P41595,Q02152,P30994,True,False,True
SLC6A4,P31645,Q60857,P31652,True,True,True
DIDO1,Q9BTC0,Q8C9B9,A0A8I5ZXE0,False,False,False
SLC6A3,Q01959,Q61327,P23977,True,True,True
SLC6A2,P23975,O55192,F1LNR9,True,True,False
NAT8,Q9UHE5,Q9JIY7,Q9QXT3,False,False,False
ADRA1A,P25100,P97718,P23944,True,False,True
ADRA2A,P08913,Q01338,P22909,True,False,True
ADRB1,P08588,P34971,P18090,True,True,True
ADRB2,P07550,P18762,P10608,True,False,True
CNRIP1,Q96F85,Q5M8N0,Q5M7A7,False,False,False
CNR2,P34972,P47936,Q9QZN9,True,True,True
CHRM1,P11229,P12657,P08482,True,True,True
CHRM2,P08172,Q9ERZ4,P10980,True,True,True
CHRM3,P20309,Q9ERZ3,P08483,True,False,True
CHRNA10,Q9GZZ6,B2RX82,Q9JLB5,False,False,False
CHRNA9,Q9UGM1,G3X8Z7,P43144,False,False,False
CHRNA7,P36544,P49582,Q05941,True,True,True
CHRNA3,P32297,Q8R4G9,P04757,True,False,False
CHRNA5,P30532,Q2MKA5,P20420,False,False,False
SMPDL3A,Q92484,P70158,Q641Z7,False,False,False
GABPA,Q06546,Q00422,A0A8I6GML2,False,False,False
HRH1,P35367,P70174,P31390,True,True,True
SLCO1B1,Q9Y6L6,,,True,,
SLCO2B3,,,,,,
SLCO2B1,O94956,Q8BXB6,Q9JHI3,True,False,False
