name2_entry,human_uniprot_id,mouse_uniprot_id,rat_uniprot_id,,,prot_group
CYP1A2,P05177,P00186,P04799,,,CYP
CYP2B6,P20813,,,,,CYP
CYP2C9,P11712,,,,,CYP
CYP2C19,P33261,,,,,CYP
CYP2D6,P10635,,,,,CYP
CYP3A4,P08684,,,,,CYP
CP2BA,,P12791,,addition,by cytochrome P450,CYP
AOX1,Q06278,O54754,Q9Z0U5,,,AOX
AOX2,,Q5SGK3,O35244,addition,by paralog similarity uniprot,AOX
XDH,P47989,Q00519,P22985,,,XDH
MAOA,P21397,Q64133,P21396,,,MAO
MAOB,P27338,Q8BW75,P19643,,,MAO
ALDH1A1,P00352,P24549,P51647,,,ALDH
ADH1A,P07327,,,,,ADH
ADH1,P07327,P00329,P06757,addition,by modificaiton of the name,ADH
HSD11B1,P28845,P50172,P16232,,,HSD
AKR7A3,O95154,,P38918,,,AKR
ARK72,O43488,Q8CG76,Q8CG45,addition,by uniprot similarity,AKR
FMO1,Q01740,P50285,P36365,,,FMO
FMO2,Q99518,Q8K2I3,Q6IRI9,addition,by paralog similarity uniprot,FMO
AHR,P35869,P30561,P41738,,,AHR
AHRR,A9YTQ3,Q3U1U7,Q75NT5,addition,by paralog similarity uniprot,AHR
NR1I3,Q14994,O35627,Q9QUS1,,,NR
NR1I2,O75469,O54915,Q9R1A7,,,NR
SULT1A1,P50225,P52840,P17988,,,SULT
ST1D1,,Q3UZZ6,G3V9R3,addition,by paralog similarity uniprot,SULT
GSTA1,P08263,P13745,P00502,,,GST
GSTA2,P09210,P13745,P04903,addition,by paralog similarity uniprot,GST
OXA1L,Q15070,Q8BGA9,A0A8I6AQW6,,,OXA
COX18,Q8N8Q8,Q8VC74,,addition,by paralog similarity uniprot,COX
ORM1,P02763,Q60590,P02764,,,ORM
ORM2,P19652,P07361,,addition,by paralog similarity uniprot,ORM
KCNH2,Q12809,O35219,O08962,,,KCN
KCNH7,Q9NS40,Q9ER47,O54852,addition,by paralog similarity uniprot,KCN
SCN5A,Q14524,Q9JJV9,P15389,,,SCN
SCN2A,Q99250,B1AWN6,P04775,addition,by paralog similarity uniprot,SCN
CACNB1,Q02641,Q8R3Z5,P54283,,,CACN
CACNB2,Q08289,Q8CC27,Q8VGC3,addition,by paralog similarity uniprot,CACN
CAV1,Q03135,P49817,P41350,,,CAV
CAV3,P56539,P51637,P51638,additionq,by paralog similarity uniprot,CAV
HTR2B,P41595,Q02152,P30994,,,HTR
HTR2A,P28223,P35363,P14842,addition,by paralog similarity uniprot,HTR
SLC6A4,P31645,Q60857,P31652,,,SLC
SLC6A3,Q01959,Q61327,P23977,,,SLC
SLC6A2,P23975,O55192,F1LNR9,,,SLC
NAT8,Q9UHE5,Q9JIY7,Q9QXT3,,,NAT
DIDO1,Q9BTC0,Q8C9B9,A0A8I5ZXE0,,,DIDO
ADRA1A,P25100,P97718,P23944,,,ADRA
ADRA2A,P08913,Q01338,P22909,,,ADRA
ADRB1,P08588,P34971,P18090,,,ADRB
ADRB2,P07550,P18762,P10608,,,ADRB
CNRIP1,Q96F85,Q5M8N0,Q5M7A7,,,CNR
CNR2,P34972,P47936,Q9QZN9,,,CNR
CHRM1,P11229,P12657,P08482,,,CHRM
CHRM2,P08172,Q9ERZ4,P10980,,,CHRM
CHRM3,P20309,Q9ERZ3,P08483,,,CHRM
CHRNA10,Q9GZZ6,B2RX82,Q9JLB5,,,CHRN
CHRNA9,Q9UGM1,G3X8Z7,P43144,,,CHRN
CHRNA7,P36544,P49582,Q05941,,,CHRN
CHRNA3,P32297,Q8R4G9,P04757,,,CHRN
CHRNA5,P30532,Q2MKA5,P20420,,,CHRN
SMPDL3A,Q92484,P70158,Q641Z7,,,SMPDL
AMPDL3B,Q92485,P58242,,addition,by paralog similarity uniprot,SMPDL
GABPA,Q06546,Q00422,A0A8I6GML2,,,GABP
HRH1,P35367,P70174,P31390,,,HRH
SLCO1B1,Q9Y6L6,,,,,SLCO
SLCO2B3,,,,,,SLCO
SLCO2B1,O94956,Q8BXB6,Q9JHI3,,,SLCO
SLCO1B2,,Q9JJL3,Q9QZX8,addition,solute carrier organic anion transporter family member,SLCO
