protein_name,human_uniprot_id,mouse_uniprot_id,rat_uniprot_id,total_activities,esm_available,esm_index,model_status,activity_bins
CYP1A2,P05177,P00186,P04799,339,True,0.0,success,101-500
CYP2B6,P20813,,,33,True,1.0,success,11-50
CYP2C9,P11712,,,466,True,2.0,success,101-500
CYP2C19,P33261,,,165,True,3.0,success,101-500
CYP2D6,P10635,,,607,True,4.0,success,501-1000
CYP3A4,P08684,,,1387,True,5.0,success,1000+
AOX1,Q06278,O54754,Q9Z0U5,17,True,6.0,success,11-50
XDH,P47989,Q00519,P22985,98,True,7.0,success,51-100
MAOA,P21397,Q64133,P21396,1468,True,8.0,success,1000+
MAOB,P27338,Q8BW75,P19643,1796,True,9.0,success,1000+
ALDH1A1,P00352,P24549,P51647,150,True,10.0,success,101-500
ADH1A,P07327,,,0,True,11.0,no_activities,
HSD11B1,P28845,P50172,P16232,2725,True,12.0,success,1000+
AKR7A3,O95154,,P38918,0,True,13.0,no_activities,
FMO1,Q01740,P50285,P36365,0,True,14.0,no_activities,
AHR,P35869,P30561,P41738,31,True,15.0,success,11-50
NR1I3,Q14994,O35627,Q9QUS1,59,True,16.0,success,51-100
NR1I2,O75469,O54915,Q9R1A7,344,True,17.0,success,101-500
SULT1A1,P50225,P52840,P17988,6,True,18.0,insufficient_data,0-10
GSTA1,P08263,P13745,P00502,6,True,19.0,insufficient_data,0-10
OXA1L,Q15070,Q8BGA9,A0A8I6AQW6,0,True,20.0,no_activities,
ORM1,P02763,Q60590,P02764,0,True,21.0,no_activities,
KCNH2,Q12809,O35219,O08962,4492,True,22.0,success,1000+
SCN5A,Q14524,Q9JJV9,P15389,329,True,23.0,success,101-500
CACNB1,Q02641,Q8R3Z5,P54283,0,True,24.0,no_activities,
CAV1,Q03135,P49817,P41350,0,True,25.0,no_activities,
HTR2B,P41595,Q02152,P30994,1215,True,26.0,success,1000+
SLC6A4,P31645,Q60857,P31652,4965,True,27.0,success,1000+
DIDO1,Q9BTC0,Q8C9B9,A0A8I5ZXE0,0,True,28.0,no_activities,
SLC6A3,Q01959,Q61327,P23977,2774,True,29.0,success,1000+
SLC6A2,P23975,O55192,F1LNR9,2022,True,30.0,success,1000+
NAT8,Q9UHE5,Q9JIY7,Q9QXT3,0,True,31.0,no_activities,
ADRA1A,P25100,P97718,P23944,712,True,32.0,success,501-1000
ADRA2A,P08913,Q01338,P22909,565,True,33.0,success,501-1000
ADRB1,P08588,P34971,P18090,699,True,34.0,success,501-1000
ADRB2,P07550,P18762,P10608,880,True,35.0,success,501-1000
CNRIP1,Q96F85,Q5M8N0,Q5M7A7,0,True,36.0,no_activities,
CNR2,P34972,P47936,Q9QZN9,4852,True,37.0,success,1000+
CHRM1,P11229,P12657,P08482,1365,True,38.0,success,1000+
CHRM2,P08172,Q9ERZ4,P10980,856,True,39.0,success,501-1000
CHRM3,P20309,Q9ERZ3,P08483,1302,True,40.0,success,1000+
CHRNA10,Q9GZZ6,B2RX82,Q9JLB5,0,True,41.0,no_activities,
CHRNA9,Q9UGM1,G3X8Z7,P43144,0,True,42.0,no_activities,
CHRNA7,P36544,P49582,Q05941,1617,True,43.0,success,1000+
CHRNA3,P32297,Q8R4G9,P04757,3,True,44.0,insufficient_data,0-10
CHRNA5,P30532,Q2MKA5,P20420,0,True,45.0,no_activities,
SMPDL3A,Q92484,P70158,Q641Z7,0,True,46.0,no_activities,
GABPA,Q06546,Q00422,A0A8I6GML2,0,True,47.0,no_activities,
HRH1,P35367,P70174,P31390,972,True,48.0,success,501-1000
SLCO1B1,Q9Y6L6,,,16,True,49.0,success,11-50
SLCO2B3,,,,0,False,,no_activities,
SLCO2B1,O94956,Q8BXB6,Q9JHI3,33,True,50.0,success,11-50
