avoidome_name,avoidome_uniprot_id,organism,organism_uniprot_id,protein_name,alternative_names
CYP1A2,P05177,rat,P04799,CYP1A2,"CP1A2_HUMAN, Cytochrome P450 1A2"
AOX1,Q06278,rat,Q9Z0U5,Aldehyde oxidase,"AOXA_HUMAN, Aldehyde oxidase"
XDH,P47989,rat,P22985,Xanthine oxidase,"XDH_HUMAN, Xanthine dehydrogenase/oxidase"
MAOA,P21397,rat,P21396,Monoamine oxidase A,"AOFA_HUMAN, Amine oxidase [flavin-containing] A"
MAOB,P27338,rat,P19643,Monoamine oxidase B,"AOFB_HUMAN, Amine oxidase [flavin-containing] B"
ALDH1A1,P00352,rat,P51647,ALDH1A1,"AL1A1_HUMAN, Aldehyde dehydrogenase 1A1"
HSD11B1,P28845,rat,P16232,HSD11B1,"DHI1_HUMAN, 11-beta-hydroxysteroid dehydrogenase 1"
AKR7A3,O95154,rat,P38918,Aldehyde reductase,"ARK73_HUMAN, Aflatoxin B1 aldehyde reductase member 3"
FMO1,Q01740,rat,P36365,FMO1,"FMO1_HUMAN, Flavin-containing monooxygenase 1"
AHR,P35869,rat,P41738,AHR,"AHR_HUMAN, Aryl hydrocarbon receptor"
NR1I3,Q14994,rat,Q9QUS1,CAR,"NR1I3_HUMAN, Nuclear receptor subfamily 1 group I member 3"
NR1I2,O75469,rat,Q9R1A7,PXR,"NR1I2_HUMAN, Nuclear receptor subfamily 1 group I member 2"
SULT1A1,P50225,rat,P17988,SULT1A1,"ST1A1_HUMAN, Sulfotransferase 1A1"
GSTA1,P08263,rat,P00502,GSTA1,"GSTA1_HUMAN, Glutathione S-transferase A1"
OXA1L,Q15070,rat,A0A8I6AQW6,HSA,"OXA1L_HUMAN, Mitochondrial inner membrane protein OXA1L"
ORM1,P02763,rat,P02764,Alpha1-acid glycoprotein,"A1AG1_HUMAN, Alpha-1-acid glycoprotein 1"
KCNH2,Q12809,rat,O08962,HERG (Kv11.1),"KCNH2_HUMAN, Potassium voltage-gated channel subfamily H member 2"
SCN5A,Q14524,rat,P15389,NaV1.5,"SCN5A_HUMAN, Sodium channel protein type 5 subunit alpha"
CACNB1,Q02641,rat,P54283,Calcium L-channel,"CACB1_HUMAN, Voltage-dependent L-type calcium channel subunit beta-1"
CAV1,Q03135,rat,P41350,CaV 1.2,"CAV1_HUMAN, Caveolin-1"
HTR2B,P41595,rat,P30994,HTR2B,"5HT2B_HUMAN, 5-hydroxytryptamine receptor 2B"
SLC6A4,P31645,rat,P31652,SERT,"SC6A4_HUMAN, Sodium-dependent serotonin transporter"
DIDO1,Q9BTC0,rat,A0A8I5ZXE0,DAT1,"DIDO1_HUMAN, Death-inducer obliterator 1"
SLC6A3,Q01959,rat,P23977,SLC6A3,"SC6A3_HUMAN, Sodium-dependent dopamine transporter"
SLC6A2,P23975,rat,F1LNR9,NET noradrenaline transporter,"SC6A2_HUMAN, Sodium-dependent noradrenaline transporter"
NAT8,Q9UHE5,rat,Q9QXT3,NAT,"NAT8_HUMAN, N-acetyltransferase 8"
ADRA1A,P35348,rat,P23944,Adrenergic receptor A1,"ADA1A_HUMAN, Alpha-1A adrenergic receptor"
ADRA2A,P08913,rat,P22909,Adrenergic receptor A2,"ADA2A_HUMAN, Alpha-2A adrenergic receptor"
ADRB1,P08588,rat,P18090,Adrenergic receptor B1,"ADRB1_HUMAN, Beta-1 adrenergic receptor"
ADRB2,P07550,rat,P10608,Adrenergic receptor B2,"ADRB2_HUMAN, Beta-2 adrenergic receptor"
CNRIP1,Q96F85,rat,Q5M7A7,Cannabinoid receptor CB1,"CNRP1_HUMAN, CB1 cannabinoid receptor-interacting protein 1"
CNR2,P34972,rat,Q9QZN9,Cannabinoid receptor CB2,"CNR2_HUMAN, Cannabinoid receptor 2"
CHRM1,P11229,rat,P08482,Muscarinic receptor M1,"ACM1_HUMAN, Muscarinic acetylcholine receptor M1"
CHRM2,P08172,rat,P10980,Muscarinic receptor M2,"ACM2_HUMAN, Muscarinic acetylcholine receptor M2"
CHRM3,P20309,rat,P08483,Muscarinic receptor M3,"ACM3_HUMAN, Muscarinic acetylcholine receptor M3"
CHRNA10,Q9GZZ6,rat,Q9JLB5,nicotinic nAChR,ACH10_HUMAN Neuronal acetylcholine receptor subunit alpha-10
CHRNA9,Q9UGM1,rat,P43144,nicotinic nAChR,ACHA9_HUMAN Neuronal acetylcholine receptor subunit alpha-9
CHRNA7,P36544,rat,Q05941,nicotinic nAChR,ACHA7_HUMAN Neuronal acetylcholine receptor subunit alpha-7
CHRNA3,P32297,rat,P04757,nicotinic nAChR,ACHA3_HUMAN Neuronal acetylcholine receptor subunit alpha-3
CHRNA5,P30532,rat,P20420,nicotinic nAChR,ACHA5_HUMAN Neuronal acetylcholine receptor subunit alpha-5
SMPDL3A,Q92484,rat,Q641Z7,Phosphodiesterase 3A,"ASM3A_HUMAN, Acid sphingomyelinase-like phosphodiesterase 3a"
GABPA,Q06546,rat,A0A8I6GML2,GABA alpha 1,"GABPA_HUMAN, GA-binding protein alpha chain"
HRH1,P35367,rat,P31390,Histamine H1,"HRH1_HUMAN, Histamine H1 receptor"
SLCO2B1,O94956,rat,Q9JHI3,OATP2B1,"Solute carrier organic anion transporter family member 2B1, KIAA0880"
