query_protein,threshold,threshold_value,num_similar_proteins,max_similarity,similar_proteins
P05177,high,70.0,1,100.0,P05177_WT (100.0%)
P05177,medium,50.0,1,100.0,P05177_WT (100.0%)
P05177,low,30.0,1,100.0,P05177_WT (100.0%)
P20813,high,70.0,4,100.0,"P20813_WT (100.0%), P24460_WT (78.0%), P00178_WT (77.4%), P00176_WT (75.8%)"
P20813,medium,50.0,4,100.0,"P20813_WT (100.0%), P24460_WT (78.0%), P00178_WT (77.4%), P00176_WT (75.8%)"
P20813,low,30.0,5,100.0,"P20813_WT (100.0%), P24460_WT (78.0%), P00178_WT (77.4%), P00176_WT (75.8%), P24903_WT (48.1%)"
P11712,high,70.0,6,100.0,"P11712_WT (100.0%), P33261_WT (91.4%), P33260_WT (81.8%), P10632_WT (78.0%), P08683_WT (76.1%), P05178_WT (75.3%)"
P11712,medium,50.0,6,100.0,"P11712_WT (100.0%), P33261_WT (91.4%), P33260_WT (81.8%), P10632_WT (78.0%), P08683_WT (76.1%), P05178_WT (75.3%)"
P11712,low,30.0,6,100.0,"P11712_WT (100.0%), P33261_WT (91.4%), P33260_WT (81.8%), P10632_WT (78.0%), P08683_WT (76.1%), P05178_WT (75.3%)"
P33261,high,70.0,6,100.0,"P33261_WT (100.0%), P11712_WT (91.4%), P33260_WT (80.8%), P10632_WT (78.2%), P05178_WT (75.1%), P08683_WT (74.7%)"
P33261,medium,50.0,6,100.0,"P33261_WT (100.0%), P11712_WT (91.4%), P33260_WT (80.8%), P10632_WT (78.2%), P05178_WT (75.1%), P08683_WT (74.7%)"
P33261,low,30.0,6,100.0,"P33261_WT (100.0%), P11712_WT (91.4%), P33260_WT (80.8%), P10632_WT (78.2%), P05178_WT (75.1%), P08683_WT (74.7%)"
P10635,high,70.0,1,100.0,P10635_WT (100.0%)
P10635,medium,50.0,1,100.0,P10635_WT (100.0%)
P10635,low,30.0,1,100.0,P10635_WT (100.0%)
P08684,high,70.0,4,100.0,"P08684_WT (100.0%), P24462_WT (88.5%), Q9HB55_WT (75.7%), P20815_WT (70.7%)"
P08684,medium,50.0,4,100.0,"P08684_WT (100.0%), P24462_WT (88.5%), Q9HB55_WT (75.7%), P20815_WT (70.7%)"
P08684,low,30.0,6,100.0,"P08684_WT (100.0%), P24462_WT (88.5%), Q9HB55_WT (75.7%), P20815_WT (70.7%), P05183_WT (41.7%), P04800_WT (41.6%)"
Q06278,high,70.0,2,100.0,"Q06278_WT (100.0%), Q5FB27_WT (95.6%)"
Q06278,medium,50.0,2,100.0,"Q06278_WT (100.0%), Q5FB27_WT (95.6%)"
Q06278,low,30.0,3,100.0,"Q06278_WT (100.0%), Q5FB27_WT (95.6%), P80456_WT (44.1%)"
P47989,high,70.0,1,100.0,P47989_WT (100.0%)
P47989,medium,50.0,1,100.0,P47989_WT (100.0%)
P47989,low,30.0,2,100.0,"P47989_WT (100.0%), P80457_WT (39.3%)"
P21397,high,70.0,4,100.0,"P21397_WT (100.0%), P21398_WT (88.0%), Q64133_WT (87.5%), P21396_WT (87.3%)"
