protein_name,human_id,mouse_id,rat_id,human_activities,mouse_activities,rat_activities,total_activities,organisms_with_data,num_organisms
CYP1A2,P05177,P00186,P04799,329,1,9,339,"['human', 'mouse', 'rat']",3
AOX1,Q06278,O54754,Q9Z0U5,13,0,4,17,"['human', 'rat']",2
MAOA,P21397,Q64133,P21396,1130,2,336,1468,"['human', 'mouse', 'rat']",3
MAOB,P27338,Q8BW75,P19643,1519,14,263,1796,"['human', 'mouse', 'rat']",3
HSD11B1,P28845,P50172,P16232,2046,612,67,2725,"['human', 'mouse', 'rat']",3
AHR,P35869,P30561,P41738,25,4,2,31,"['human', 'mouse', 'rat']",3
HTR2B,P41595,Q02152,P30994,1180,0,35,1215,"['human', 'rat']",2
SLC6A4,P31645,Q60857,P31652,2958,12,1995,4965,"['human', 'mouse', 'rat']",3
SLC6A3,Q01959,Q61327,P23977,1646,14,1114,2774,"['human', 'mouse', 'rat']",3
SLC6A2,P23975,O55192,F1LNR9,2021,1,0,2022,"['human', 'mouse']",2
ADRA1A,P25100,P97718,P23944,566,0,146,712,"['human', 'rat']",2
ADRA2A,P08913,Q01338,P22909,526,0,39,565,"['human', 'rat']",2
ADRB1,P08588,P34971,P18090,614,32,53,699,"['human', 'mouse', 'rat']",3
ADRB2,P07550,P18762,P10608,860,0,20,880,"['human', 'rat']",2
CNR2,P34972,P47936,Q9QZN9,4295,363,194,4852,"['human', 'mouse', 'rat']",3
CHRM1,P11229,P12657,P08482,1103,1,261,1365,"['human', 'mouse', 'rat']",3
CHRM2,P08172,Q9ERZ4,P10980,721,5,130,856,"['human', 'mouse', 'rat']",3
CHRM3,P20309,Q9ERZ3,P08483,1209,0,93,1302,"['human', 'rat']",2
CHRNA7,P36544,P49582,Q05941,595,4,1018,1617,"['human', 'mouse', 'rat']",3
HRH1,P35367,P70174,P31390,945,1,26,972,"['human', 'mouse', 'rat']",3
CYP2B6,P20813,,,33,0,0,33,['human'],1
CYP2C9,P11712,,,466,0,0,466,['human'],1
CYP2C19,P33261,,,165,0,0,165,['human'],1
CYP2D6,P10635,,,607,0,0,607,['human'],1
CYP3A4,P08684,,,1387,0,0,1387,['human'],1
XDH,P47989,Q00519,P22985,98,0,0,98,['human'],1
ALDH1A1,P00352,P24549,P51647,150,0,0,150,['human'],1
NR1I3,Q14994,O35627,Q9QUS1,59,0,0,59,['human'],1
NR1I2,O75469,O54915,Q9R1A7,344,0,0,344,['human'],1
SULT1A1,P50225,P52840,P17988,6,0,0,6,['human'],1
GSTA1,P08263,P13745,P00502,6,0,0,6,['human'],1
KCNH2,Q12809,O35219,O08962,4492,0,0,4492,['human'],1
SCN5A,Q14524,Q9JJV9,P15389,329,0,0,329,['human'],1
CHRNA3,P32297,Q8R4G9,P04757,3,0,0,3,['human'],1
SLCO1B1,Q9Y6L6,,,16,0,0,16,['human'],1
SLCO2B1,O94956,Q8BXB6,Q9JHI3,33,0,0,33,['human'],1
ADH1A,P07327,,,0,0,0,0,[],0
AKR7A3,O95154,,P38918,0,0,0,0,[],0
FMO1,Q01740,P50285,P36365,0,0,0,0,[],0
OXA1L,Q15070,Q8BGA9,A0A8I6AQW6,0,0,0,0,[],0
ORM1,P02763,Q60590,P02764,0,0,0,0,[],0
CACNB1,Q02641,Q8R3Z5,P54283,0,0,0,0,[],0
CAV1,Q03135,P49817,P41350,0,0,0,0,[],0
DIDO1,Q9BTC0,Q8C9B9,A0A8I5ZXE0,0,0,0,0,[],0
NAT8,Q9UHE5,Q9JIY7,Q9QXT3,0,0,0,0,[],0
CNRIP1,Q96F85,Q5M8N0,Q5M7A7,0,0,0,0,[],0
CHRNA10,Q9GZZ6,B2RX82,Q9JLB5,0,0,0,0,[],0
CHRNA9,Q9UGM1,G3X8Z7,P43144,0,0,0,0,[],0
CHRNA5,P30532,Q2MKA5,P20420,0,0,0,0,[],0
SMPDL3A,Q92484,P70158,Q641Z7,0,0,0,0,[],0
GABPA,Q06546,Q00422,A0A8I6GML2,0,0,0,0,[],0
SLCO2B3,,,,0,0,0,0,[],0
