Name,Alternative Names,UniProt ID,ChEMBL_target,,source,Function,Pathways
CYP1A2,"CP1A2_HUMAN, Cytochrome P450 1A2",P05177,CHEMBL3356,,list,"A cytochrome P450 monooxygenase involved in the metabolism of various endogenous substrates, including fatty acids, steroid hormones and vitamins (PubMed:10681376, PubMed:11555828, PubMed:12865317, PubMed:19965576, PubMed:9435160). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (NADPH--hemoprotein reductase) (PubMed:10681376, PubMed:11555828, PubMed:12865317, PubMed:19965576, PubMed:9435160). Catalyzes the hydroxylation of carbon-hydrogen bonds (PubMed:11555828, PubMed:12865317). Exhibits high catalytic activity for the formation of hydroxyestrogens from estrone (E1) and 17beta-estradiol (E2), namely 2-hydroxy E1 and E2 (PubMed:11555828, PubMed:12865317). Metabolizes cholesterol toward 25-hydroxycholesterol, a physiological regulator of cellular cholesterol homeostasis (PubMed:21576599). May act as a major enzyme for all-trans retinoic acid biosynthesis in the liver. Catalyzes two successive oxidative transformation of all-trans retinol to all-trans retinal and then to the active form all-trans retinoic acid (PubMed:10681376). Primarily catalyzes stereoselective epoxidation of the last double bond of polyunsaturated fatty acids (PUFA), displaying a strong preference for the (R,S) stereoisomer (PubMed:19965576). Catalyzes bisallylic hydroxylation and omega-1 hydroxylation of PUFA (PubMed:9435160). May also participate in eicosanoids metabolism by converting hydroperoxide species into oxo metabolites (lipoxygenase-like reaction, NADPH-independent) (PubMed:21068195). Plays a role in the oxidative metabolism of xenobiotics. Catalyzes the N-hydroxylation of heterocyclic amines and the O-deethylation of phenacetin (PubMed:14725854). Metabolizes caffeine via N3-demethylation (Probable)",R-HSA-156581; R-HSA-211957; R-HSA-2142670; R-HSA-2142816; R-HSA-5423646; R-HSA-9018681; R-HSA-9027307
CYP2B6,"CP2B6_HUMAN, Cytochrome P450 2B6",P20813,CHEMBL4729,,list,"A cytochrome P450 monooxygenase involved in the metabolism of endocannabinoids and steroids (PubMed:12865317, PubMed:21289075). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (NADPH--hemoprotein reductase). Catalyzes the epoxidation of double bonds of arachidonoylethanolamide (anandamide) to 8,9-, 11,12-, and 14,15-epoxyeicosatrienoic acid ethanolamides (EpETrE-EAs), potentially modulating endocannabinoid system signaling (PubMed:21289075). Hydroxylates steroid hormones, including testosterone at C-16 and estrogens at C-2 (PubMed:12865317, PubMed:21289075). Plays a role in the oxidative metabolism of xenobiotics, including plant lipids and drugs (PubMed:11695850, PubMed:22909231). Acts as a 1,4-cineole 2-exo-monooxygenase (PubMed:11695850)",R-HSA-211935; R-HSA-211945; R-HSA-211981; R-HSA-211999
CYP2C9,"CP2C9_HUMAN, Cytochrome P450 2C9",P11712,CHEMBL3397,,list,"A cytochrome P450 monooxygenase involved in the metabolism of various endogenous substrates, including fatty acids and steroids (PubMed:12865317, PubMed:15766564, PubMed:19965576, PubMed:21576599, PubMed:7574697, PubMed:9435160, PubMed:9866708). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (NADPH--hemoprotein reductase) (PubMed:12865317, PubMed:15766564, PubMed:19965576, PubMed:21576599, PubMed:7574697, PubMed:9435160, PubMed:9866708). Catalyzes the epoxidation of double bonds of polyunsaturated fatty acids (PUFA) (PubMed:15766564, PubMed:19965576, PubMed:7574697, PubMed:9866708). Catalyzes the hydroxylation of carbon-hydrogen bonds. Metabolizes cholesterol toward 25-hydroxycholesterol, a physiological regulator of cellular cholesterol homeostasis (PubMed:21576599). Exhibits low catalytic activity for the formation of catechol estrogens from 17beta-estradiol (E2) and estrone (E1), namely 2-hydroxy E1 and E2 (PubMed:12865317). Catalyzes bisallylic hydroxylation and hydroxylation with double-bond migration of polyunsaturated fatty acids (PUFA) (PubMed:9435160, PubMed:9866708). Also metabolizes plant monoterpenes such as limonene. Oxygenates (R)- and (S)-limonene to produce carveol and perillyl alcohol (PubMed:11950794). Contributes to the wide pharmacokinetics variability of the metabolism of drugs such as S-warfarin, diclofenac, phenytoin, tolbutamide and losartan (PubMed:25994031)",R-HSA-211981; R-HSA-211999; R-HSA-2142670; R-HSA-2142816; R-HSA-9027307; R-HSA-9749641
CYP2C19,"CP2CJ_HUMAN, Cytochrome P450 2C19",P33261,CHEMBL3622,,list,"A cytochrome P450 monooxygenase involved in the metabolism of polyunsaturated fatty acids (PUFA) (PubMed:18577768, PubMed:19965576, PubMed:20972997). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (NADPH--hemoprotein reductase) (PubMed:18577768, PubMed:19965576, PubMed:20972997). Catalyzes the hydroxylation of carbon-hydrogen bonds. Hydroxylates PUFA specifically at the omega-1 position (PubMed:18577768). Catalyzes the epoxidation of double bonds of PUFA (PubMed:19965576, PubMed:20972997). Also metabolizes plant monoterpenes such as limonene. Oxygenates (R)- and (S)-limonene to produce carveol and perillyl alcohol (PubMed:11950794). Responsible for the metabolism of a number of therapeutic agents such as the anticonvulsant drug S-mephenytoin, omeprazole, proguanil, certain barbiturates, diazepam, propranolol, citalopram and imipramine. Hydroxylates fenbendazole at the 4' position (PubMed:23959307)",R-HSA-211981; R-HSA-211999; R-HSA-2142670; R-HSA-2142816; R-HSA-9749641
CYP2D6,"CP2D6_HUMAN, Cytochrome P450 2D6",P10635,CHEMBL289,,list,"A cytochrome P450 monooxygenase involved in the metabolism of fatty acids, steroids and retinoids (PubMed:18698000, PubMed:19965576, PubMed:20972997, PubMed:21289075, PubMed:21576599). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (NADPH--hemoprotein reductase) (PubMed:18698000, PubMed:19965576, PubMed:20972997, PubMed:21289075, PubMed:21576599). Catalyzes the epoxidation of double bonds of polyunsaturated fatty acids (PUFA) (PubMed:19965576, PubMed:20972997). Metabolizes endocannabinoid arachidonoylethanolamide (anandamide) to 20-hydroxyeicosatetraenoic acid ethanolamide (20-HETE-EA) and 8,9-, 11,12-, and 14,15-epoxyeicosatrienoic acid ethanolamides (EpETrE-EAs), potentially modulating endocannabinoid system signaling (PubMed:18698000, PubMed:21289075). Catalyzes the hydroxylation of carbon-hydrogen bonds. Metabolizes cholesterol toward 25-hydroxycholesterol, a physiological regulator of cellular cholesterol homeostasis (PubMed:21576599). Catalyzes the oxidative transformations of all-trans retinol to all-trans retinal, a precursor for the active form all-trans-retinoic acid (PubMed:10681376). Also involved in the oxidative metabolism of drugs such as antiarrhythmics, adrenoceptor antagonists, and tricyclic antidepressants",R-HSA-211935; R-HSA-211958; R-HSA-211981; R-HSA-211999; R-HSA-9027307; R-HSA-9749641
CYP3A4,"CP3A4_HUMAN, Cytochrome P450 3A4",P08684,CHEMBL2111472,,list,"A cytochrome P450 monooxygenase involved in the metabolism of sterols, steroid hormones, retinoids and fatty acids (PubMed:10681376, PubMed:11093772, PubMed:11555828, PubMed:12865317, PubMed:14559847, PubMed:15373842, PubMed:15764715, PubMed:19965576, PubMed:20702771, PubMed:21490593, PubMed:21576599). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (NADPH--hemoprotein reductase). Catalyzes the hydroxylation of carbon-hydrogen bonds (PubMed:12865317, PubMed:14559847, PubMed:15373842, PubMed:15764715, PubMed:21490593, PubMed:21576599, PubMed:2732228). Exhibits high catalytic activity for the formation of hydroxyestrogens from estrone (E1) and 17beta-estradiol (E2), namely 2-hydroxy E1 and E2, as well as D-ring hydroxylated E1 and E2 at the C-16 position (PubMed:11555828, PubMed:12865317, PubMed:14559847). Plays a role in the metabolism of androgens, particularly in oxidative deactivation of testosterone (PubMed:15373842, PubMed:15764715, PubMed:22773874, PubMed:2732228). Metabolizes testosterone to less biologically active 2beta- and 6beta-hydroxytestosterones (PubMed:15373842, PubMed:15764715, PubMed:2732228). Contributes to the formation of hydroxycholesterols (oxysterols), particularly A-ring hydroxylated cholesterol at the C-4beta position, and side chain hydroxylated cholesterol at the C-25 position, likely contributing to cholesterol degradation and bile acid biosynthesis (PubMed:21576599). Catalyzes bisallylic hydroxylation of polyunsaturated fatty acids (PUFA) (PubMed:9435160). Catalyzes the epoxidation of double bonds of PUFA with a preference for the last double bond (PubMed:19965576). Metabolizes endocannabinoid arachidonoylethanolamide (anandamide) to 8,9-, 11,12-, and 14,15-epoxyeicosatrienoic acid ethanolamides (EpETrE-EAs), potentially modulating endocannabinoid system signaling (PubMed:20702771). Plays a role in the metabolism of retinoids. Displays high catalytic activity for oxidation of all-trans-retinol to all-trans-retinal, a rate-limiting step for the biosynthesis of all-trans-retinoic acid (atRA) (PubMed:10681376). Further metabolizes atRA toward 4-hydroxyretinoate and may play a role in hepatic atRA clearance (PubMed:11093772). Responsible for oxidative metabolism of xenobiotics. Acts as a 2-exo-monooxygenase for plant lipid 1,8-cineole (eucalyptol) (PubMed:11159812). Metabolizes the majority of the administered drugs. Catalyzes sulfoxidation of the anthelmintics albendazole and fenbendazole (PubMed:10759686). Hydroxylates antimalarial drug quinine (PubMed:8968357). Acts as a 1,4-cineole 2-exo-monooxygenase (PubMed:11695850). Also involved in vitamin D catabolism and calcium homeostasis. Catalyzes the inactivation of the active hormone calcitriol (1-alpha,25-dihydroxyvitamin D(3)) (PubMed:29461981)",R-HSA-211945; R-HSA-211981; R-HSA-5423646; R-HSA-9027307; R-HSA-9749641; R-HSA-9754706; R-HSA-9757110
Aldehyde oxidase,"AOXA_HUMAN, Aldehyde oxidase",Q06278,CHEMBL3257,,list,"Oxidase with broad substrate specificity, oxidizing aromatic azaheterocycles, such as N1-methylnicotinamide, N-methylphthalazinium and phthalazine, as well as aldehydes, such as benzaldehyde, retinal, pyridoxal, and vanillin. Plays a key role in the metabolism of xenobiotics and drugs containing aromatic azaheterocyclic substituents. Participates in the bioactivation of prodrugs such as famciclovir, catalyzing the oxidation step from 6-deoxypenciclovir to penciclovir, which is a potent antiviral agent. Is probably involved in the regulation of reactive oxygen species homeostasis. May be a prominent source of superoxide generation via the one-electron reduction of molecular oxygen. May also catalyze nitric oxide (NO) production via the reduction of nitrite to NO with NADH or aldehyde as electron donor. May play a role in adipogenesis",R-HSA-964975
Xanthine oxidase,"XDH_HUMAN, Xanthine dehydrogenase/oxidase",P47989,CHEMBL1929,,list,Key enzyme in purine degradation. Catalyzes the oxidation of hypoxanthine to xanthine. Catalyzes the oxidation of xanthine to uric acid. Contributes to the generation of reactive oxygen species. Has also low oxidase activity towards aldehydes (in vitro),R-HSA-74259; R-HSA-8851680; R-HSA-9748787
Monoamine oxidase A,"AOFA_HUMAN, Amine oxidase [flavin-containing] A",P21397,CHEMBL1951,,list,"Catalyzes the oxidative deamination of primary and some secondary amine such as neurotransmitters, with concomitant reduction of oxygen to hydrogen peroxide and has important functions in the metabolism of neuroactive and vasoactive amines in the central nervous system and peripheral tissues (PubMed:18391214, PubMed:20493079, PubMed:24169519, PubMed:8316221). Preferentially oxidizes serotonin (PubMed:20493079, PubMed:24169519). Also catalyzes the oxidative deamination of kynuramine to 3-(2-aminophenyl)-3-oxopropanal that can spontaneously condense to 4-hydroxyquinoline (By similarity)",R-HSA-141333; R-HSA-181430; R-HSA-379397; R-HSA-379398; R-HSA-379401; R-HSA-380612; R-HSA-5579012; R-HSA-6785807
Monoamine oxidase B,"AOFB_HUMAN, Amine oxidase [flavin-containing] B",P27338,CHEMBL2039,,list,"Catalyzes the oxidative deamination of primary and some secondary amines such as neurotransmitters, and exogenous amines including the tertiary amine, neurotoxin 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP), with concomitant reduction of oxygen to hydrogen peroxide and participates in the metabolism of neuroactive and vasoactive amines in the central nervous system and peripheral tissues (PubMed:11049757, PubMed:11134050, PubMed:20493079, PubMed:8316221, PubMed:8665924). Preferentially degrades benzylamine and phenylethylamine (PubMed:11049757, PubMed:11134050, PubMed:20493079, PubMed:8316221, PubMed:8665924)",R-HSA-141333
